# entry-subent-pointer  : R0039-010-0 
# EXFOR reaction        : ['47-AG-109', ['A,2N'], '49-IN-111,,SIG'] 
# incident energy       : 1.53e+01 MeV - 3.56e+01 MeV 
# target                : Ag-109 
# product               : In-111 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : K.G.Porges 
# institute             : (1USABRK): Lawrence Berkeley National Laboratory, Berkeley, CA 
# reference             : (J,PR,101,225,1956) 
# year                  : 1956 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/R00/R0039.x4 
# nds                   : https://nds.iaea.org/EXFOR/R0039
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.53000E+01      0.00000E+00      2.00000E-02      0.00000E+00
      1.54000E+01      0.00000E+00      5.00000E-02      0.00000E+00
      1.56000E+01      0.00000E+00      6.00000E-02      0.00000E+00
      1.61000E+01      0.00000E+00      9.00000E-02      0.00000E+00
      1.63000E+01      0.00000E+00      1.30000E-01      0.00000E+00
      1.65000E+01      0.00000E+00      1.70000E-01      0.00000E+00
      1.67000E+01      0.00000E+00      2.00000E-01      0.00000E+00
      1.68000E+01      0.00000E+00      2.20000E-01      0.00000E+00
      1.70000E+01      0.00000E+00      2.40000E-01      0.00000E+00
      1.72000E+01      0.00000E+00      2.70000E-01      0.00000E+00
      1.78000E+01      0.00000E+00      3.30000E-01      0.00000E+00
      1.84000E+01      0.00000E+00      4.10000E-01      0.00000E+00
      1.85000E+01      0.00000E+00      4.90000E-01      0.00000E+00
      1.87000E+01      0.00000E+00      4.90000E-01      0.00000E+00
      1.88000E+01      0.00000E+00      5.50000E-01      0.00000E+00
      1.91000E+01      0.00000E+00      5.80000E-01      0.00000E+00
      1.98000E+01      0.00000E+00      6.40000E-01      0.00000E+00
      2.04000E+01      0.00000E+00      7.40000E-01      0.00000E+00
      2.06000E+01      0.00000E+00      8.60000E-01      0.00000E+00
      2.07000E+01      0.00000E+00      7.80000E-01      0.00000E+00
      2.09000E+01      0.00000E+00      8.40000E-01      0.00000E+00
      2.19000E+01      0.00000E+00      9.50000E-01      0.00000E+00
      2.27000E+01      0.00000E+00      1.06000E+00      0.00000E+00
      2.30000E+01      0.00000E+00      1.03000E+00      0.00000E+00
      2.31000E+01      0.00000E+00      1.11000E+00      0.00000E+00
      2.40000E+01      0.00000E+00      1.13000E+00      0.00000E+00
      2.46000E+01      0.00000E+00      1.17000E+00      0.00000E+00
      2.49000E+01      0.00000E+00      1.14000E+00      0.00000E+00
      2.51000E+01      0.00000E+00      1.22000E+00      0.00000E+00
      2.66000E+01      0.00000E+00      1.21000E+00      0.00000E+00
      2.71000E+01      0.00000E+00      1.12000E+00      0.00000E+00
      2.86000E+01      0.00000E+00      1.07000E+00      0.00000E+00
      2.93000E+01      0.00000E+00      9.90000E-01      0.00000E+00
      3.05000E+01      0.00000E+00      9.00000E-01      0.00000E+00
      3.15000E+01      0.00000E+00      7.90000E-01      0.00000E+00
      3.24000E+01      0.00000E+00      6.50000E-01      0.00000E+00
      3.35000E+01      0.00000E+00      5.10000E-01      0.00000E+00
      3.53000E+01      0.00000E+00      4.00000E-01      0.00000E+00
      3.56000E+01      0.00000E+00      3.50000E-01      0.00000E+00
