# entry-subent-pointer  : B0174-008-0 
# EXFOR reaction        : ['13-AL-27', ['A,3P'], '12-MG-28,,SIG'] 
# incident energy       : 2.94e+01 MeV - 1.55e+02 MeV 
# target                : Al-27 
# product               : Mg-28 
# level energy          : - 
# MF-MT number          : 3 - 197 
# first author          : H.J.Probst 
# institute             : (2GERJUL): Forschungszentrum Juelich 
# reference             : (J,ARI,27,431,1976) 
# year                  : 1976 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/B01/B0174.x4 
# nds                   : https://nds.iaea.org/EXFOR/B0174
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.94000E+01      0.00000E+00      1.20000E-05      0.00000E+00
      3.19000E+01      0.00000E+00      1.30000E-05      0.00000E+00
      3.59000E+01      0.00000E+00      3.73000E-05      0.00000E+00
      3.62000E+01      2.80000E+00      7.20000E-05      1.20000E-05
      3.99000E+01      2.50000E+00      9.74000E-05      1.90000E-05
      4.13000E+01      0.00000E+00      2.03000E-04      0.00000E+00
      4.35000E+01      0.00000E+00      1.91000E-04      0.00000E+00
      4.63000E+01      0.00000E+00      3.85000E-04      0.00000E+00
      4.63000E+01      0.00000E+00      3.11000E-04      0.00000E+00
      4.96000E+01      0.00000E+00      3.69000E-04      0.00000E+00
      5.09000E+01      0.00000E+00      4.44000E-04      0.00000E+00
      5.33000E+01      0.00000E+00      4.14000E-04      5.70000E-05
      5.54000E+01      0.00000E+00      4.60000E-04      7.10000E-05
      5.90000E+01      0.00000E+00      3.69000E-04      0.00000E+00
      5.90000E+01      0.00000E+00      4.25000E-04      0.00000E+00
      6.36000E+01      0.00000E+00      3.82000E-04      0.00000E+00
      6.44000E+01      0.00000E+00      3.49000E-04      0.00000E+00
      6.69000E+01      0.00000E+00      3.37000E-04      0.00000E+00
      6.93000E+01      0.00000E+00      3.23000E-04      0.00000E+00
      7.05000E+01      0.00000E+00      3.37000E-04      0.00000E+00
      7.38000E+01      0.00000E+00      3.00000E-04      0.00000E+00
      7.45000E+01      0.00000E+00      3.11000E-04      0.00000E+00
      7.75000E+01      0.00000E+00      2.85000E-04      0.00000E+00
      7.84000E+01      0.00000E+00      2.85000E-04      0.00000E+00
      8.10000E+01      0.00000E+00      2.65000E-04      0.00000E+00
      8.41000E+01      0.00000E+00      2.47000E-04      0.00000E+00
      8.66000E+01      0.00000E+00      2.63000E-04      0.00000E+00
      8.72000E+01      0.00000E+00      2.54000E-04      0.00000E+00
      8.99000E+01      0.00000E+00      2.47000E-04      0.00000E+00
      9.28000E+01      0.00000E+00      2.36000E-04      3.50000E-05
      9.44000E+01      2.10000E+00      2.45000E-04      3.40000E-05
      9.60000E+01      0.00000E+00      2.41000E-04      0.00000E+00
      9.77000E+01      0.00000E+00      2.14000E-04      0.00000E+00
      9.82000E+01      0.00000E+00      2.34000E-04      0.00000E+00
      1.00000E+02      0.00000E+00      2.24000E-04      0.00000E+00
      1.01000E+02      0.00000E+00      2.14000E-04      0.00000E+00
      1.04000E+02      0.00000E+00      2.05000E-04      0.00000E+00
      1.05000E+02      0.00000E+00      2.16000E-04      0.00000E+00
      1.06000E+02      0.00000E+00      2.05000E-04      0.00000E+00
      1.08000E+02      0.00000E+00      1.96000E-04      0.00000E+00
      1.09000E+02      0.00000E+00      1.88000E-04      0.00000E+00
      1.11000E+02      0.00000E+00      1.95000E-04      0.00000E+00
      1.11000E+02      0.00000E+00      1.93000E-04      0.00000E+00
      1.14000E+02      0.00000E+00      1.81000E-04      0.00000E+00
      1.15000E+02      0.00000E+00      1.61000E-04      0.00000E+00
      1.16000E+02      0.00000E+00      1.95000E-04      3.00000E-05
      1.18000E+02      0.00000E+00      1.56000E-04      2.30000E-05
      1.18000E+02      0.00000E+00      1.69000E-04      0.00000E+00
      1.21000E+02      0.00000E+00      1.80000E-04      0.00000E+00
      1.21000E+02      0.00000E+00      1.66000E-04      0.00000E+00
      1.23000E+02      0.00000E+00      1.69000E-04      0.00000E+00
      1.24000E+02      0.00000E+00      1.56000E-04      0.00000E+00
      1.25000E+02      0.00000E+00      1.66000E-04      0.00000E+00
      1.27000E+02      0.00000E+00      1.45000E-04      0.00000E+00
      1.29000E+02      0.00000E+00      1.63000E-04      0.00000E+00
      1.29000E+02      0.00000E+00      1.44000E-04      0.00000E+00
      1.30000E+02      0.00000E+00      1.69000E-04      0.00000E+00
      1.31000E+02      0.00000E+00      1.46000E-04      0.00000E+00
      1.33000E+02      0.00000E+00      1.48000E-04      0.00000E+00
      1.34000E+02      0.00000E+00      1.43000E-04      0.00000E+00
      1.35000E+02      1.20000E+00      1.19000E-04      1.80000E-05
      1.36000E+02      0.00000E+00      1.26000E-04      1.70000E-05
      1.38000E+02      0.00000E+00      1.29000E-04      0.00000E+00
      1.38000E+02      0.00000E+00      1.38000E-04      0.00000E+00
      1.40000E+02      0.00000E+00      1.17000E-04      0.00000E+00
      1.41000E+02      0.00000E+00      1.24000E-04      0.00000E+00
      1.42000E+02      0.00000E+00      1.23000E-04      0.00000E+00
      1.43000E+02      0.00000E+00      1.28000E-04      0.00000E+00
      1.44000E+02      0.00000E+00      1.09000E-04      0.00000E+00
      1.46000E+02      0.00000E+00      1.26000E-04      0.00000E+00
      1.46000E+02      0.00000E+00      1.10000E-04      0.00000E+00
      1.49000E+02      0.00000E+00      1.04000E-04      0.00000E+00
      1.50000E+02      0.00000E+00      1.05000E-04      0.00000E+00
      1.51000E+02      0.00000E+00      1.05000E-04      0.00000E+00
      1.52000E+02      0.00000E+00      1.04000E-04      0.00000E+00
      1.53000E+02      0.00000E+00      1.04000E-04      0.00000E+00
      1.54000E+02      0.00000E+00      1.17000E-04      1.80000E-05
      1.55000E+02      0.00000E+00      1.06000E-04      1.70000E-05
