# entry-subent-pointer  : F1138-004-0 
# EXFOR reaction        : ['5-B-10', ['A,INL'], '5-B-10,PAR,DA'] 
# incident energy       : 2.4000e+01 MeV 
# target                : B-10 
# product               : B-10 
# level energy          : 3.5900e+00 MeV 
# MF-MT number          : 4 - 804 
# first author          : A.E.Denisov 
# institute             : (4RUSSUL): Gosudarstvennyi University (State University ), St.Petersburg 
# reference             : (J,YF,24,249,1976) 
# year                  : 1976 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F11/F1138.x4 
# nds                   : https://nds.iaea.org/EXFOR/F1138
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      6.32000E+01      0.00000E+00      2.41080E-03      5.61400E-04
      6.75000E+01      0.00000E+00      2.02350E-03      2.80700E-04
      7.03000E+01      0.00000E+00      3.49630E-03      6.66900E-04
      8.20000E+01      0.00000E+00      2.01910E-03      5.26300E-04
      8.60000E+01      0.00000E+00      1.98280E-03      5.61400E-04
      8.83000E+01      0.00000E+00      2.85920E-03      3.86000E-04
      9.17000E+01      0.00000E+00      2.43710E-03      3.15800E-04
      9.47000E+01      0.00000E+00      2.47130E-03      3.50800E-04
      9.77000E+01      0.00000E+00      2.43530E-03      3.15800E-04
      1.00400E+02      0.00000E+00      2.15380E-03      3.50800E-04
      1.02400E+02      0.00000E+00      1.55670E-03      5.96500E-04
      1.05800E+02      0.00000E+00      2.11700E-03      2.80700E-04
      1.08100E+02      0.00000E+00      2.22160E-03      2.45600E-04
      1.10100E+02      0.00000E+00      2.57190E-03      3.50900E-04
      1.25200E+02      0.00000E+00      2.11110E-03      2.80700E-04
      1.28200E+02      0.00000E+00      1.72420E-03      3.15800E-04
      1.30900E+02      0.00000E+00      1.75850E-03      2.80700E-04
      1.40000E+02      0.00000E+00      4.17670E-03      3.85900E-04
      1.50700E+02      0.00000E+00      3.36640E-03      1.05260E-03
