# entry-subent-pointer  : F1302-002-0 
# EXFOR reaction        : ['4-BE-9', ['A,EL'], '4-BE-9,,DA'] 
# incident energy       : 4.0000e+01 MeV 
# target                : Be-9 
# product               : Be-9 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : A.S.Demyanova 
# institute             : (4RUSKUR): National Issl.Tsentr "Kurchatovskii Institut", Moskva 
# reference             : (J,ZEP,102,(7),467,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F13/F1302.x4 
# nds                   : https://nds.iaea.org/EXFOR/F1302
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.44232E+01      0.00000E+00      1.03623E+00      0.00000E+00
      1.58613E+01      0.00000E+00      5.41890E-01      0.00000E+00
      1.72983E+01      0.00000E+00      2.37104E-01      0.00000E+00
      2.01681E+01      0.00000E+00      1.96361E-02      0.00000E+00
      2.16007E+01      0.00000E+00      1.30421E-02      0.00000E+00
      2.30318E+01      0.00000E+00      3.58079E-02      0.00000E+00
      2.44610E+01      0.00000E+00      6.74814E-02      0.00000E+00
      2.58884E+01      0.00000E+00      9.02612E-02      0.00000E+00
      2.73138E+01      0.00000E+00      9.61185E-02      0.00000E+00
      2.87372E+01      0.00000E+00      9.69700E-02      0.00000E+00
      2.87372E+01      0.00000E+00      1.03050E-01      0.00000E+00
      3.01583E+01      0.00000E+00      9.06051E-02      0.00000E+00
      3.15771E+01      0.00000E+00      6.73258E-02      0.00000E+00
      3.44073E+01      0.00000E+00      3.17759E-02      0.00000E+00
      3.72269E+01      0.00000E+00      9.48401E-03      0.00000E+00
      4.00349E+01      0.00000E+00      4.08320E-03      0.00000E+00
      4.28304E+01      0.00000E+00      7.92284E-03      0.00000E+00
      4.56125E+01      0.00000E+00      1.30624E-02      0.00000E+00
      4.83802E+01      0.00000E+00      1.29860E-02      0.00000E+00
      5.11326E+01      0.00000E+00      1.03521E-02      0.00000E+00
      5.38688E+01      0.00000E+00      7.62459E-03      0.00000E+00
      5.65877E+01      0.00000E+00      5.23789E-03      0.00000E+00
      5.92885E+01      0.00000E+00      4.01497E-03      0.00000E+00
      6.19701E+01      0.00000E+00      3.50928E-03      0.00000E+00
      6.46316E+01      0.00000E+00      3.53539E-03      0.00000E+00
      6.72721E+01      0.00000E+00      3.47715E-03      0.00000E+00
      6.98906E+01      0.00000E+00      3.04042E-03      0.00000E+00
      7.24862E+01      0.00000E+00      2.72404E-03      0.00000E+00
      7.50579E+01      0.00000E+00      2.66847E-03      0.00000E+00
      7.76048E+01      0.00000E+00      2.81398E-03      0.00000E+00
      8.01261E+01      0.00000E+00      2.48874E-03      0.00000E+00
      8.26208E+01      0.00000E+00      2.19160E-03      0.00000E+00
      8.50881E+01      0.00000E+00      2.35481E-03      0.00000E+00
      8.75272E+01      0.00000E+00      2.02731E-03      0.00000E+00
      9.11311E+01      0.00000E+00      1.42039E-03      0.00000E+00
      9.46673E+01      0.00000E+00      1.25376E-03      0.00000E+00
      9.81333E+01      0.00000E+00      1.10261E-03      0.00000E+00
      1.02642E+02      0.00000E+00      1.32700E-03      0.00000E+00
      1.05937E+02      0.00000E+00      1.09908E-03      0.00000E+00
      1.09156E+02      0.00000E+00      9.17170E-04      0.00000E+00
      1.12299E+02      0.00000E+00      8.09110E-04      0.00000E+00
      1.16368E+02      0.00000E+00      1.14926E-03      0.00000E+00
      1.19329E+02      0.00000E+00      1.31820E-03      0.00000E+00
      1.22212E+02      0.00000E+00      1.22958E-03      0.00000E+00
      1.25019E+02      0.00000E+00      1.53928E-03      0.00000E+00
      1.27749E+02      0.00000E+00      1.27483E-03      0.00000E+00
      1.32986E+02      0.00000E+00      1.11708E-03      0.00000E+00
      1.37937E+02      0.00000E+00      1.54519E-03      0.00000E+00
      1.42621E+02      0.00000E+00      1.11593E-03      0.00000E+00
      1.44869E+02      0.00000E+00      9.15910E-04      0.00000E+00
      1.49191E+02      0.00000E+00      1.33001E-03      0.00000E+00
      1.53970E+02      0.00000E+00      2.76172E-03      0.00000E+00
