# entry-subent-pointer  : C2083-042-0 
# EXFOR reaction        : ['6-C-12', ['A,EL'], '6-C-12,,DA'] 
# incident energy       : 2.1900e+01 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : J.F.Morgan 
# institute             : (1USAMIN): University of Minnesota, Minneapolis, MN 
# reference             : (J,PR/C,1,(1),155,1970) 
# year                  : 1970 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C20/C2083.x4 
# nds                   : https://nds.iaea.org/EXFOR/C2083
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.60940E+01      0.00000E+00      4.55900E-01      0.00000E+00
      1.93340E+01      0.00000E+00      9.20100E-02      0.00000E+00
      2.28880E+01      0.00000E+00      4.02700E-02      0.00000E+00
      2.58790E+01      0.00000E+00      1.12200E-01      0.00000E+00
      2.90630E+01      0.00000E+00      1.65600E-01      0.00000E+00
      3.63440E+01      0.00000E+00      1.10000E-01      0.00000E+00
      4.32050E+01      0.00000E+00      7.79200E-03      0.00000E+00
      4.89140E+01      0.00000E+00      2.43000E-02      0.00000E+00
      5.52060E+01      0.00000E+00      6.78800E-02      0.00000E+00
      5.85080E+01      0.00000E+00      6.80600E-02      0.00000E+00
      6.07770E+01      0.00000E+00      5.46500E-02      0.00000E+00
      6.42050E+01      0.00000E+00      3.62000E-02      0.00000E+00
      6.71590E+01      0.00000E+00      1.86900E-02      0.00000E+00
      7.33100E+01      0.00000E+00      2.23700E-03      0.00000E+00
      7.93050E+01      0.00000E+00      2.72700E-03      0.00000E+00
      8.52910E+01      0.00000E+00      3.41700E-03      0.00000E+00
      9.04210E+01      0.00000E+00      1.92000E-03      0.00000E+00
      9.38740E+01      0.00000E+00      1.17100E-03      0.00000E+00
      9.61430E+01      0.00000E+00      9.40200E-04      0.00000E+00
      1.00487E+02      0.00000E+00      1.14500E-03      0.00000E+00
      1.07065E+02      0.00000E+00      1.25000E-03      0.00000E+00
      1.10106E+02      0.00000E+00      2.95100E-03      0.00000E+00
      1.14933E+02      0.00000E+00      4.48300E-03      0.00000E+00
      1.19819E+02      0.00000E+00      5.61300E-03      0.00000E+00
      1.25482E+02      0.00000E+00      3.33500E-03      0.00000E+00
      1.29604E+02      0.00000E+00      1.38200E-03      0.00000E+00
      1.33888E+02      0.00000E+00      2.04100E-03      0.00000E+00
      1.37446E+02      0.00000E+00      5.38300E-03      0.00000E+00
      1.40021E+02      0.00000E+00      9.63700E-03      0.00000E+00
      1.43907E+02      0.00000E+00      8.65400E-03      0.00000E+00
      1.48554E+02      0.00000E+00      3.89700E-03      0.00000E+00
      1.53083E+02      0.00000E+00      2.58400E-03      0.00000E+00
      1.55708E+02      0.00000E+00      3.91900E-03      0.00000E+00
      1.59013E+02      0.00000E+00      2.36800E-02      0.00000E+00
      1.62038E+02      0.00000E+00      5.90700E-02      0.00000E+00
