# entry-subent-pointer  : C1461--01-4-0 
# EXFOR reaction        : ['6-C-12', ['A,EL'], '6-C-12,,DA'] 
# incident energy       : 3.90e+00 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : P.Tischhauser 
# institute             : (1USANOT): University of Notre Dame, Notre Dame, IN 
# reference             : (J,PR/C,79,055803,2009) 
# year                  : 2009 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C14/C1461.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1461
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.40000E+01      0.00000E+00      4.80801E+00      4.37529E-02
      3.39000E+01      0.00000E+00      1.09858E+00      2.06532E-02
      3.89000E+01      0.00000E+00      7.91672E-01      1.31418E-02
      4.39000E+01      0.00000E+00      5.99421E-01      1.14489E-02
      4.89000E+01      0.00000E+00      4.59937E-01      6.25510E-03
      5.40000E+01      0.00000E+00      3.56604E-01      5.49170E-03
      5.89000E+01      0.00000E+00      2.66113E-01      4.76340E-03
      6.39000E+01      0.00000E+00      1.95269E-01      4.08110E-03
      6.89000E+01      0.00000E+00      1.34800E-01      3.38350E-03
      7.40000E+01      0.00000E+00      9.24465E-02      2.80110E-03
      7.58000E+01      0.00000E+00      8.24110E-02      2.64540E-03
      7.90000E+01      0.00000E+00      5.95332E-02      2.25040E-03
      8.08000E+01      0.00000E+00      5.65565E-02      2.19440E-03
      8.40000E+01      0.00000E+00      4.09929E-02      1.86520E-03
      8.58000E+01      0.00000E+00      3.35087E-02      1.68880E-03
      8.90000E+01      0.00000E+00      3.05320E-02      1.61210E-03
      9.08000E+01      0.00000E+00      2.63647E-02      1.49750E-03
      9.40000E+01      0.00000E+00      2.48339E-02      1.45280E-03
      9.58000E+01      0.00000E+00      2.21123E-02      1.37100E-03
      9.90000E+01      0.00000E+00      2.35581E-02      1.41580E-03
      1.00800E+02      0.00000E+00      2.22824E-02      1.37710E-03
      1.03900E+02      0.00000E+00      2.70451E-02      1.51720E-03
      1.05800E+02      0.00000E+00      2.70451E-02      1.51720E-03
      1.10800E+02      0.00000E+00      3.22330E-02      1.65680E-03
      1.15800E+02      0.00000E+00      3.71657E-02      1.77650E-03
      1.20800E+02      0.00000E+00      4.16732E-02      1.88360E-03
      1.25800E+02      0.00000E+00      4.79668E-02      2.01940E-03
      1.30800E+02      0.00000E+00      5.02630E-02      2.06580E-03
      1.40800E+02      0.00000E+00      5.82575E-02      2.22540E-03
      1.50800E+02      0.00000E+00      6.58267E-02      2.36320E-03
      1.60800E+02      0.00000E+00      6.59118E-02      2.36620E-03
      1.65900E+02      0.00000E+00      6.89735E-02      2.42100E-03
