# entry-subent-pointer  : C1461-014-0 
# EXFOR reaction        : ['6-C-12', ['A,EL'], '6-C-12,,DA'] 
# incident energy       : 4.05e+00 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : P.Tischhauser 
# institute             : (1USANOT): University of Notre Dame, Notre Dame, IN 
# reference             : (J,PR/C,79,055803,2009) 
# year                  : 2009 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C14/C1461.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1461
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.40000E+01      0.00000E+00      4.59450E+00      6.52419E-02
      3.39000E+01      0.00000E+00      1.02013E+00      2.00965E-02
      3.89000E+01      0.00000E+00      7.35450E-01      1.69889E-02
      4.39000E+01      0.00000E+00      5.39513E-01      1.45669E-02
      4.89000E+01      0.00000E+00      4.39549E-01      8.21960E-03
      5.40000E+01      0.00000E+00      3.29700E-01      7.12150E-03
      5.89000E+01      0.00000E+00      2.54476E-01      6.23470E-03
      6.39000E+01      0.00000E+00      1.84767E-01      5.32130E-03
      6.89000E+01      0.00000E+00      1.35435E-01      4.55060E-03
      7.40000E+01      0.00000E+00      9.22303E-02      3.76300E-03
      7.58000E+01      0.00000E+00      7.96673E-02      3.49740E-03
      7.90000E+01      0.00000E+00      6.26614E-02      3.09550E-03
      8.08000E+01      0.00000E+00      5.69928E-02      2.95220E-03
      8.40000E+01      0.00000E+00      4.04465E-02      2.48750E-03
      8.58000E+01      0.00000E+00      3.47779E-02      2.30930E-03
      8.90000E+01      0.00000E+00      2.89560E-02      2.10510E-03
      9.08000E+01      0.00000E+00      2.77304E-02      2.06040E-03
      9.40000E+01      0.00000E+00      2.60451E-02      1.99770E-03
      9.58000E+01      0.00000E+00      2.39002E-02      1.91440E-03
      9.90000E+01      0.00000E+00      2.34406E-02      1.89400E-03
      1.00800E+02      0.00000E+00      2.72707E-02      2.04530E-03
      1.03900E+02      0.00000E+00      2.60451E-02      1.99770E-03
      1.05800E+02      0.00000E+00      2.89560E-02      2.10510E-03
      1.10800E+02      0.00000E+00      3.50843E-02      2.31910E-03
      1.15800E+02      0.00000E+00      3.92208E-02      2.45130E-03
      1.20800E+02      0.00000E+00      4.55023E-02      2.63910E-03
      1.25800E+02      0.00000E+00      4.73408E-02      2.69370E-03
      1.30800E+02      0.00000E+00      4.91793E-02      2.74420E-03
      1.40800E+02      0.00000E+00      5.14774E-02      2.81070E-03
      1.50800E+02      0.00000E+00      6.02101E-02      3.03460E-03
      1.60800E+02      0.00000E+00      5.66864E-02      2.94770E-03
      1.65900E+02      0.00000E+00      5.79120E-02      2.97670E-03
