# entry-subent-pointer  : C1179--00-4-0 
# EXFOR reaction        : ['6-C-14', ['A,INL'], '6-C-14,PAR,DA'] 
# incident energy       : 3.50e+01 MeV 
# target                : C-14 
# product               : C-14 
# level energy          : 6.09e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : R.J.Peterson 
# institute             : (1USACLU): Colorado University, Boulder, CO 
# reference             : (J,NP/A,425,469,1984) 
# year                  : 1984 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C11/C1179.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1179
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      8.52500E+00      0.00000E+00      1.28000E-02      1.02400E-03
      1.03800E+01      0.00000E+00      1.27700E-02      1.02160E-03
      1.26700E+01      0.00000E+00      8.27800E-03      6.62240E-04
      1.32400E+01      0.00000E+00      5.63400E-03      4.50720E-04
      1.96900E+01      0.00000E+00      2.58900E-03      2.07120E-04
      2.25800E+01      0.00000E+00      3.84200E-03      3.07360E-04
      2.70900E+01      0.00000E+00      3.58800E-03      2.87040E-04
      3.00900E+01      0.00000E+00      1.70900E-03      1.36720E-04
      3.28800E+01      0.00000E+00      9.94400E-04      7.95520E-05
      3.99600E+01      0.00000E+00      3.20800E-03      2.56640E-04
      4.51200E+01      0.00000E+00      2.94700E-03      2.35760E-04
      4.95600E+01      0.00000E+00      2.12000E-03      1.69600E-04
      5.21400E+01      0.00000E+00      1.53000E-03      1.22400E-04
      5.89400E+01      0.00000E+00      1.66000E-03      1.32800E-04
      6.53400E+01      0.00000E+00      1.03700E-03      8.29600E-05
