# entry-subent-pointer  : F0493-003-0 
# EXFOR reaction        : ['20-CA-40', ['A,EL'], '20-CA-40,,DA'] 
# incident energy       : 1.4500e+01 MeV 
# target                : Ca-40 
# product               : Ca-40 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : C.P.Robinson 
# institute             : (1USAFSU): Florida State University, Tallahassee, FL 
# reference             : (J,PR,171,1241,196807) 
# year                  : 1968 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F04/F0493.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0493
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.63900E+01      1.10000E+00      4.13800E+00      8.27600E-04
      2.94300E+01      1.10000E+00      2.39900E+00      4.79800E-04
      3.20900E+01      1.10000E+00      1.51500E+00      3.03000E-04
      3.43600E+01      1.10000E+00      1.04100E+00      2.08200E-04
      3.70200E+01      1.10000E+00      7.28200E-01      1.45640E-04
      4.04400E+01      1.10000E+00      4.92100E-01      9.84200E-05
      4.23400E+01      1.10000E+00      3.38300E-01      6.76600E-05
      4.53700E+01      1.10000E+00      2.28600E-01      4.57200E-05
      4.84100E+01      1.10000E+00      1.44300E-01      2.88600E-05
      5.10700E+01      1.10000E+00      1.21700E-01      2.43400E-05
      5.41100E+01      1.10000E+00      1.00900E-01      2.01800E-05
      5.60100E+01      1.10000E+00      7.55500E-02      1.51100E-05
      5.82900E+01      1.10000E+00      5.10600E-02      1.02120E-05
      6.13300E+01      1.10000E+00      3.69400E-02      7.38800E-06
      6.39800E+01      1.10000E+00      2.62800E-02      5.25600E-06
      6.62600E+01      1.10000E+00      1.90100E-02      3.80200E-06
      6.93000E+01      1.10000E+00      1.77600E-02      3.55200E-06
      7.38700E+01      1.10000E+00      2.03500E-02      4.07000E-06
      7.72900E+01      1.10000E+00      1.83700E-02      3.67400E-06
      7.99500E+01      1.10000E+00      1.52300E-02      3.04600E-06
      8.22300E+01      1.10000E+00      1.22000E-02      2.44000E-06
      8.56500E+01      1.10000E+00      7.97200E-03      1.59440E-06
      8.67800E+01      1.10000E+00      5.57500E-03      1.11500E-06
      8.98200E+01      1.10000E+00      4.31800E-03      8.63600E-07
      9.13400E+01      1.10000E+00      3.17800E-03      6.35600E-07
      9.32400E+01      1.10000E+00      2.18400E-03      4.36800E-07
      9.47600E+01      1.10000E+00      1.93900E-03      3.87800E-07
      9.74200E+01      1.10000E+00      1.93900E-03      3.87800E-07
      1.00500E+02      1.10000E+00      1.97200E-03      3.94400E-07
      1.04600E+02      1.10000E+00      2.07500E-03      4.15000E-07
      1.08100E+02      1.10000E+00      1.84200E-03      3.68400E-07
      1.10000E+02      1.10000E+00      1.93800E-03      3.87600E-07
      1.13000E+02      1.10000E+00      2.33800E-03      4.67600E-07
      1.14200E+02      1.10000E+00      3.23100E-03      6.46200E-07
      1.16400E+02      1.10000E+00      3.45800E-03      6.91600E-07
      1.18000E+02      1.10000E+00      4.17100E-03      8.34200E-07
      1.20600E+02      1.10000E+00      4.61900E-03      9.23800E-07
      1.22500E+02      1.10000E+00      5.57100E-03      1.11420E-06
      1.24800E+02      1.10000E+00      5.96400E-03      1.19280E-06
      1.28200E+02      1.10000E+00      5.57000E-03      1.11400E-06
      1.29400E+02      1.10000E+00      4.77900E-03      9.55800E-07
      1.31300E+02      1.10000E+00      4.17000E-03      8.34000E-07
      1.34300E+02      1.10000E+00      2.54400E-03      5.08800E-07
      1.36200E+02      1.10000E+00      1.12300E-03      2.24600E-07
      1.38500E+02      1.10000E+00      9.00100E-04      1.80020E-07
      1.41900E+02      1.10000E+00      1.30900E-03      2.61800E-07
      1.44200E+02      1.10000E+00      2.54400E-03      5.08800E-07
      1.46500E+02      1.10000E+00      3.89400E-03      7.78800E-07
      1.48400E+02      1.10000E+00      5.76100E-03      1.15220E-06
      1.49500E+02      1.10000E+00      6.94800E-03      1.38960E-06
      1.53000E+02      1.10000E+00      6.71500E-03      1.34300E-06
      1.54900E+02      1.10000E+00      5.02700E-03      1.00540E-06
      1.56800E+02      1.10000E+00      3.12000E-03      6.24000E-07
      1.60200E+02      1.10000E+00      1.18200E-03      2.36400E-07
      1.61700E+02      1.10000E+00      2.46600E-04      4.93200E-08
      1.63200E+02      1.10000E+00      1.26500E-03      2.53000E-07
      1.66300E+02      1.10000E+00      4.94100E-03      9.88200E-07
      1.69300E+02      1.10000E+00      1.17800E-02      2.35600E-06
      1.70900E+02      1.10000E+00      1.89700E-02      3.79400E-06
      1.72800E+02      1.10000E+00      2.76000E-02      5.52000E-06
      1.74700E+02      1.10000E+00      3.27200E-02      6.54400E-06
