# entry-subent-pointer  : T0099-002-0 
# EXFOR reaction        : ['20-CA-40', ['A,EL'], '20-CA-40,,DA'] 
# incident energy       : 7.83e+00 MeV 
# target                : Ca-40 
# product               : Ca-40 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : J.John 
# institute             : (1USAFSU): Florida State University, Tallahassee, FL 
# reference             : (J,PR,177,1755,196901) 
# year                  : 1969 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T00/T0099.x4 
# nds                   : https://nds.iaea.org/EXFOR/T0099
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      5.90000E+01      0.00000E+00      5.71000E-01      3.42600E-02
      6.95000E+01      0.00000E+00      2.75000E-01      1.65000E-02
      6.95000E+01      0.00000E+00      2.38000E-01      1.42800E-02
      7.98000E+01      0.00000E+00      1.41000E-01      8.46000E-03
      7.98000E+01      0.00000E+00      1.07000E-01      6.42000E-03
      7.98000E+01      0.00000E+00      1.23000E-01      7.38000E-03
      7.98000E+01      0.00000E+00      1.49000E-01      8.94000E-03
      9.00000E+01      0.00000E+00      7.09000E-02      4.25400E-03
      9.00000E+01      0.00000E+00      1.03000E-01      6.18000E-03
      1.11200E+02      0.00000E+00      5.05000E-02      3.03000E-03
      1.20900E+02      0.00000E+00      4.49000E-02      2.69400E-03
      1.30400E+02      0.00000E+00      2.36000E-02      1.41600E-03
      1.39400E+02      0.00000E+00      4.27000E-02      2.56200E-03
      1.58100E+02      0.00000E+00      1.86000E-02      1.11600E-03
      1.76100E+02      0.00000E+00      2.76000E-02      1.65600E-03
      1.76100E+02      0.00000E+00      3.76000E-02      2.25600E-03
