# entry-subent-pointer  : C0211--00-4-0 
# EXFOR reaction        : ['20-CA-40', ['A,INL'], '20-CA-40,PAR,DA'] 
# incident energy       : 2.40e+02 MeV 
# target                : Ca-40 
# product               : Ca-40 
# level energy          : 1.75e+01 MeV 
# MF-MT number          : 4 - ['91'] 
# first author          : D.H.Youngblood 
# institute             : (1USATAM): Texas A & M University, College Station, TX 
# reference             : (J,PR/C,55,2811,1997) 
# year                  : 1997 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C02/C0211.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0211
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.11470E+00      3.00000E-02      1.44190E-01              NAN
      1.19180E+00      3.00000E-02      1.48710E-01              NAN
      1.24930E+00      3.00000E-02      1.44150E-01              NAN
      1.42140E+00      3.00000E-02      1.21110E-01              NAN
      1.71900E+00      3.00000E-02      1.13060E-01              NAN
      2.05400E+00      3.00000E-02      8.70570E-02              NAN
      2.42810E+00      3.00000E-02      7.54210E-02              NAN
      2.93630E+00      3.00000E-02      5.98870E-02              NAN
      3.37880E+00      3.00000E-02      6.64940E-02              NAN
      3.83050E+00      3.00000E-02      6.85290E-02              NAN
      4.27360E+00      3.00000E-02      8.56120E-02              NAN
      4.73500E+00      3.00000E-02      8.87800E-02              NAN
      5.20530E+00      3.00000E-02      7.88330E-02              NAN
      5.66600E+00      3.00000E-02      7.17610E-02              NAN
      6.14510E+00      3.00000E-02      5.28940E-02              NAN
