# entry-subent-pointer  : D7029-003-0 
# EXFOR reaction        : ['26-FE-0', ['A,X'], '27-CO-55,CUM,SIG'] 
# incident energy       : 3.0900e+01 MeV - 4.4600e+01 MeV 
# target                : Fe-0 
# product               : Co-55 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : K.S.Kim 
# institute             : (3KORKNU): Kyungpook National University, Daegu 
# reference             : (J,EPJ/A,54,12,2018) 
# year                  : 2018 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D70/D7029.x4 
# nds                   : https://nds.iaea.org/EXFOR/D7029
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.46000E+01      4.00000E-01      6.60000E-03      8.00000E-04
      4.33000E+01      4.00000E-01      5.70000E-03      7.00000E-04
      4.21000E+01      4.00000E-01      5.10000E-03      6.00000E-04
      4.08000E+01      4.00000E-01      4.70000E-03      6.00000E-04
      3.96000E+01      4.00000E-01      4.10000E-03      5.00000E-04
      3.82000E+01      5.00000E-01      3.60000E-03      5.00000E-04
      3.68000E+01      5.00000E-01      2.80000E-03      4.00000E-04
      3.54000E+01      5.00000E-01      1.60000E-03      3.00000E-04
      3.39000E+01      5.00000E-01      1.40000E-03      2.00000E-04
      3.25000E+01      5.00000E-01      6.00000E-04      2.00000E-04
      3.09000E+01      5.00000E-01      4.00000E-04      2.00000E-04
