# entry-subent-pointer  : A0510-331-0 
# EXFOR reaction        : ['26-FE-54', ['A,X'], '27-CO-55,,SIG'] 
# incident energy       : 2.75e+01 MeV - 4.58e+01 MeV 
# target                : Fe-54 
# product               : Co-55 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : V.N.Levkovski 
# institute             : (4KASKAZ): Institute Yadernoi Fiziki, Almaty 
# reference             : (B,LEVKOVSKIJ,,,1991) 
# year                  : 1991 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A05/A0510.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0510
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.75000E+01      0.00000E+00      4.30000E-03      4.30000E-04
      2.87000E+01      0.00000E+00      5.80000E-03      5.80000E-04
      2.99000E+01      0.00000E+00      6.80000E-03      6.80000E-04
      3.12000E+01      0.00000E+00      1.12000E-02      1.12000E-03
      3.23000E+01      0.00000E+00      1.28000E-02      1.28000E-03
      3.34000E+01      0.00000E+00      1.91000E-02      1.91000E-03
      3.45000E+01      0.00000E+00      2.70000E-02      2.70000E-03
      3.55000E+01      0.00000E+00      2.90000E-02      2.90000E-03
      3.65000E+01      0.00000E+00      3.90000E-02      3.90000E-03
      3.75000E+01      0.00000E+00      4.80000E-02      4.80000E-03
      3.85000E+01      0.00000E+00      5.50000E-02      5.50000E-03
      3.95000E+01      0.00000E+00      5.90000E-02      5.90000E-03
      4.05000E+01      0.00000E+00      7.10000E-02      7.10000E-03
      4.14000E+01      0.00000E+00      8.00000E-02      8.00000E-03
      4.23000E+01      0.00000E+00      8.00000E-02      8.00000E-03
      4.32000E+01      0.00000E+00      8.70000E-02      8.70000E-03
      4.41000E+01      0.00000E+00      9.00000E-02      9.00000E-03
      4.50000E+01      0.00000E+00      9.20000E-02      9.20000E-03
      4.58000E+01      0.00000E+00      1.01000E-01      1.01000E-02
