# entry-subent-pointer  : A1191--00-2-0 
# EXFOR reaction        : ['1-H-2', ['A,EL'], '1-H-2,,DA,,,EXP'] 
# incident energy       : 1.20e+01 MeV 
# target                : H-2 
# product               : H-2 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Bruno 
# institute             : (2ITYUBO): Bologna, University + Ist. Naz. di Fis. Nuclear  
# reference             : (J,NCL,27,(9),265,198003) 
# year                  : 1980 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A11/A1191.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1191
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.17000E+01      1.30000E+00      1.75800E-01      3.51600E-03
      4.48500E+01      1.30000E+00      1.26700E-01      2.53400E-03
      4.96700E+01      1.30000E+00      9.80400E-02      1.96080E-03
      5.28800E+01      1.30000E+00      7.75600E-02      1.55120E-03
      5.77400E+01      1.30000E+00      6.52300E-02      1.30460E-03
      6.09800E+01      1.30000E+00      6.11000E-02      1.22200E-03
      6.58300E+01      1.30000E+00      4.87700E-02      9.75400E-04
      7.07000E+01      1.30000E+00      4.46200E-02      8.92400E-04
      7.39500E+01      1.30000E+00      4.45800E-02      8.91600E-04
      7.88300E+01      1.30000E+00      4.45200E-02      8.90400E-04
      8.20900E+01      1.30000E+00      4.85700E-02      9.71400E-04
      8.53400E+01      1.30000E+00      4.85300E-02      9.70600E-04
      9.02200E+01      1.30000E+00      5.25500E-02      1.05100E-03
      9.51100E+01      1.30000E+00      5.65800E-02      1.13160E-03
      9.83600E+01      1.30000E+00      5.65300E-02      1.13060E-03
      1.01600E+02      1.30000E+00      5.64900E-02      1.12980E-03
      1.06500E+02      1.30000E+00      6.05200E-02      1.21040E-03
      1.09800E+02      1.30000E+00      6.45700E-02      1.29140E-03
      1.14600E+02      1.30000E+00      6.45000E-02      1.29000E-03
      1.17900E+02      1.30000E+00      6.44600E-02      1.28920E-03
      1.21200E+02      1.30000E+00      6.85100E-02      1.37020E-03
      1.26000E+02      1.30000E+00      7.66200E-02      1.53240E-03
      1.30900E+02      1.30000E+00      8.88200E-02      1.77640E-03
      1.34200E+02      1.30000E+00      1.01100E-01      2.02200E-03
      1.37500E+02      1.30000E+00      1.21400E-01      2.42800E-03
      1.44100E+02      1.30000E+00      1.41800E-01      2.83600E-03
      1.45700E+02      1.30000E+00      1.62200E-01      3.24400E-03
      1.50600E+02      1.30000E+00      1.82600E-01      3.65200E-03
      1.63800E+02      1.30000E+00      2.72400E-01      5.44800E-03
      1.67100E+02      1.30000E+00      3.05000E-01      6.10000E-03
