# entry-subent-pointer  : A1191-002-0 
# EXFOR reaction        : ['1-H-2', ['A,EL'], '1-H-2,,DA,,,EXP'] 
# incident energy       : 1.36e+01 MeV 
# target                : H-2 
# product               : H-2 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Bruno 
# institute             : (2ITYUBO): Bologna, University + Ist. Naz. di Fis. Nuclear  
# reference             : (J,NCL,27,(9),265,198003) 
# year                  : 1980 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A11/A1191.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1191
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.23000E+01      1.30000E+00      1.51200E-01      3.02400E-03
      4.71100E+01      1.30000E+00      1.14600E-01      2.29200E-03
      4.86900E+01      1.30000E+00      8.61100E-02      1.72220E-03
      5.35100E+01      1.30000E+00      6.17000E-02      1.23400E-03
      5.67400E+01      1.30000E+00      5.35500E-02      1.07100E-03
      6.15800E+01      1.30000E+00      4.13200E-02      8.26400E-04
      6.48100E+01      1.30000E+00      3.72300E-02      7.44600E-04
      7.12900E+01      1.30000E+00      3.71800E-02      7.43600E-04
      7.45400E+01      1.30000E+00      4.52700E-02      9.05400E-04
      7.77800E+01      1.30000E+00      4.93100E-02      9.86200E-04
      8.26400E+01      1.30000E+00      5.33300E-02      1.06660E-03
      8.75100E+01      1.30000E+00      5.73500E-02      1.14700E-03
      9.07500E+01      1.30000E+00      6.13800E-02      1.22760E-03
      9.72300E+01      1.30000E+00      6.53900E-02      1.30780E-03
      1.02100E+02      1.30000E+00      6.12900E-02      1.22580E-03
      1.05300E+02      1.30000E+00      6.12600E-02      1.22520E-03
      1.10200E+02      1.30000E+00      6.12200E-02      1.22440E-03
      1.13400E+02      1.30000E+00      5.71300E-02      1.14260E-03
      1.19900E+02      1.30000E+00      5.70700E-02      1.14140E-03
      1.21500E+02      1.30000E+00      6.11200E-02      1.22240E-03
      1.26400E+02      1.30000E+00      6.51400E-02      1.30280E-03
      1.29600E+02      1.30000E+00      6.91800E-02      1.38360E-03
      1.34500E+02      1.30000E+00      8.13200E-02      1.62640E-03
      1.39400E+02      1.30000E+00      8.94000E-02      1.78800E-03
      1.45900E+02      1.30000E+00      1.25900E-01      2.51800E-03
      1.50800E+02      1.30000E+00      1.42100E-01      2.84200E-03
      1.62200E+02      1.30000E+00      2.31400E-01      4.62800E-03
      1.67100E+02      1.30000E+00      2.51600E-01      5.03200E-03
