# entry-subent-pointer  : A1235--00-2-0 
# EXFOR reaction        : ['2-HE-4', ['A,EL'], '2-HE-4,,DA'] 
# incident energy       : 1.29e+01 MeV 
# target                : He-4 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : F.E.Steigert 
# institute             : (1USAINU): Indiana University, Bloomington, IN 
# reference             : (J,PR,92,660,1953) 
# year                  : 1953 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A12/A1235.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1235
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.60900E+01      4.00000E-02      7.41500E-02      7.41500E-03
      2.81300E+01      4.00000E-02      7.23400E-02      7.23400E-03
      2.98600E+01      4.00000E-02      7.00900E-02      7.00900E-03
      3.11000E+01      4.00000E-02      6.81500E-02      6.81500E-03
      3.25900E+01      4.00000E-02      6.49000E-02      6.49000E-03
      4.29900E+01      4.00000E-02      3.10700E-02      3.10700E-03
      4.39700E+01      4.00000E-02      2.62900E-02      2.62900E-03
      4.49600E+01      4.00000E-02      2.18500E-02      2.18500E-03
      4.60000E+01      4.00000E-02      1.77300E-02      1.77300E-03
      4.69300E+01      4.00000E-02      1.40900E-02      1.40900E-03
      4.87500E+01      4.00000E-02      8.01000E-03      8.01000E-04
      5.11100E+01      4.00000E-02      3.73000E-03      3.73000E-04
      5.81000E+01      4.00000E-02      3.37000E-03      3.37000E-04
      6.02000E+01      4.00000E-02      5.17000E-03      5.17000E-04
      6.29400E+01      4.00000E-02      9.09000E-03      9.09000E-04
      7.13600E+01      4.00000E-02      3.19400E-02      3.19400E-03
      7.31000E+01      4.00000E-02      3.69600E-02      3.69600E-03
      7.46400E+01      4.00000E-02      4.29200E-02      4.29200E-03
      7.56900E+01      4.00000E-02      4.38300E-02      4.38300E-03
      7.70800E+01      4.00000E-02      4.84700E-02      4.84700E-03
      7.87200E+01      4.00000E-02      5.21400E-02      5.21400E-03
      8.04100E+01      4.00000E-02      5.60900E-02      5.60900E-03
      8.45300E+01      4.00000E-02      6.33200E-02      6.33200E-03
      8.65600E+01      4.00000E-02      6.74000E-02      6.74000E-03
      8.79500E+01      4.00000E-02      6.88100E-02      6.88100E-03
      8.89400E+01      4.00000E-02      6.90400E-02      6.90400E-03
      8.98400E+01      4.00000E-02      6.97600E-02      6.97600E-03
