# entry-subent-pointer  : C1956-005-0 
# EXFOR reaction        : ['2-HE-4', ['A,EL'], '2-HE-4,,DA'] 
# incident energy       : 1.98e+02 MeV 
# target                : He-4 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : L.W.Woo 
# institute             : (1USAINU): Indiana University, Bloomington, IN 
# reference             : (J,PR/C,32,706,1985) 
# year                  : 1985 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1956.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1956
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.90000E+00      0.00000E+00      1.35000E+00      2.62000E-01
      1.38000E+01      0.00000E+00      3.87000E-01      4.04000E-02
      1.78000E+01      0.00000E+00      1.01000E-01      8.24000E-03
      2.19000E+01      0.00000E+00      7.27000E-02      0.00000E+00
      2.60000E+01      0.00000E+00      6.07000E-02      0.00000E+00
      3.44000E+01      0.00000E+00      1.67000E-02      1.29000E-03
      4.24000E+01      0.00000E+00      2.07000E-03      1.77000E-04
      5.04000E+01      0.00000E+00      7.57000E-04      1.40000E-04
      5.84000E+01      0.00000E+00      1.49000E-04      2.65000E-05
      6.64000E+01      0.00000E+00      6.39000E-05      1.80000E-05
