# entry-subent-pointer  : T0255--00-4-0 
# EXFOR reaction        : ['12-MG-26', ['A,G'], '14-SI-30,PAR,SIG'] 
# incident energy       : 4.00e+00 MeV - 1.34e+01 MeV 
# target                : Mg-26 
# product               : Si-30 
# level energy          : 0.00e+00 MeV 
# MF-MT number          : 3 - 99 
# first author          : L.Meyer-Schutzmeister 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NP/A,108,180,1968) 
# year                  : 1968 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0255.x4 
# nds                   : https://nds.iaea.org/EXFOR/T0255
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.00000E+00      0.00000E+00      3.34000E-03      6.68000E-04
      4.10000E+00      0.00000E+00      3.91000E-03      7.82000E-04
      4.20000E+00      0.00000E+00      2.00000E-04      4.00000E-05
      4.30000E+00      0.00000E+00      1.37900E-02      2.75800E-03
      4.40000E+00      0.00000E+00      5.63000E-03      1.12600E-03
      4.50000E+00      0.00000E+00      4.56000E-03      9.12000E-04
      4.60000E+00      0.00000E+00      1.00800E-02      2.01600E-03
      4.70000E+00      0.00000E+00      1.46900E-02      2.93800E-03
      4.80000E+00      0.00000E+00      3.81000E-03      7.62000E-04
      4.90000E+00      0.00000E+00      2.00000E-03      4.00000E-04
      5.00000E+00      0.00000E+00      9.20000E-04      1.84000E-04
      5.10000E+00      0.00000E+00      5.10000E-04      1.02000E-04
      5.20000E+00      0.00000E+00      3.14000E-03      6.28000E-04
      5.30000E+00      0.00000E+00      1.70600E-02      3.41200E-03
      5.40000E+00      0.00000E+00      1.07100E-02      2.14200E-03
      5.50000E+00      0.00000E+00      6.02000E-03      1.20400E-03
      5.60000E+00      0.00000E+00      4.94000E-03      9.88000E-04
      5.70000E+00      0.00000E+00      3.95000E-03      7.90000E-04
      5.80000E+00      0.00000E+00      2.71000E-03      5.42000E-04
      5.90000E+00      0.00000E+00      2.96000E-03      5.92000E-04
      6.00000E+00      0.00000E+00      1.67100E-02      3.34200E-03
      6.10000E+00      0.00000E+00      2.87000E-03      5.74000E-04
      6.20000E+00      0.00000E+00      7.15000E-03      1.43000E-03
      6.30000E+00      0.00000E+00      3.77000E-03      7.54000E-04
      6.40000E+00      0.00000E+00      2.12000E-03      4.24000E-04
