# entry-subent-pointer  : A0159--01-9-0 
# EXFOR reaction        : ['25-MN-55', ['A,4N'], '27-CO-55,,SIG'] 
# incident energy       : 3.98e+01 MeV - 1.71e+02 MeV 
# target                : Mn-55 
# product               : Co-55 
# level energy          : - 
# MF-MT number          : 3 - 37 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln 
# reference             : (C,82ANTWER,,599,1982) 
# year                  : 1982 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A01/A0159.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0159
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.71150E+02      3.60000E-01      2.40000E-04      4.40000E-04
      1.62240E+02      5.30000E-01      4.50000E-04      6.20000E-04
      1.52880E+02      6.40000E-01      3.90000E-04      5.90000E-04
      1.44370E+02      7.20000E-01      6.40000E-04      5.90000E-04
      1.35320E+02      7.90000E-01      5.20000E-04      5.80000E-04
      1.25910E+02      8.30000E-01      1.14000E-03      6.20000E-04
      1.17400E+02      9.20000E-01      1.17000E-03      6.40000E-04
      1.08430E+02      9.80000E-01      1.95000E-03      6.90000E-04
      9.88000E+01      1.00000E+00      1.96000E-03      6.90000E-04
      8.87000E+01      5.00000E-01      3.53000E-03      6.70000E-04
      8.84000E+01      1.10000E+00      3.17000E-03      7.80000E-04
      7.86800E+01      6.80000E-01      5.10000E-03      7.70000E-04
      6.75300E+01      7.90000E-01      8.80000E-03      1.30000E-03
      5.77700E+01      9.00000E-01      1.16000E-02      1.10000E-03
      4.94000E+01      1.00000E+00      6.74000E-03      5.20000E-04
      3.98000E+01      1.10000E+00      2.25000E-04      6.70000E-05
