# entry-subent-pointer  : D4269--00-4-0 
# EXFOR reaction        : ['42-MO-0', ['A,X'], '43-TC-94,CUM,SIG'] 
# incident energy       : 2.03e+01 MeV - 3.94e+01 MeV 
# target                : Mo-0 
# product               : Tc-94 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Ditroi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,285,125,2012) 
# year                  : 2012 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D42/D4269.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4269
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.03000E+01      5.00000E-01      2.90000E-03      9.00000E-04
      2.21000E+01      5.00000E-01      1.78000E-02      2.10000E-03
      2.39000E+01      5.00000E-01      3.13000E-02      3.70000E-03
      2.56000E+01      5.00000E-01      4.54000E-02      5.20000E-03
      2.72000E+01      4.00000E-01      5.47000E-02      6.30000E-03
      2.87000E+01      4.00000E-01      6.39000E-02      7.20000E-03
      3.02000E+01      4.00000E-01      6.66000E-02      7.70000E-03
      3.16000E+01      4.00000E-01      7.00000E-02      7.90000E-03
      3.30000E+01      4.00000E-01      7.00000E-02      8.10000E-03
      3.44000E+01      4.00000E-01      6.80000E-02      7.70000E-03
      3.57000E+01      3.00000E-01      6.15000E-02      7.40000E-03
      3.69000E+01      3.00000E-01      5.74000E-02      6.60000E-03
      3.82000E+01      3.00000E-01      5.05000E-02      5.90000E-03
      3.94000E+01      3.00000E-01      4.07000E-02      4.70000E-03
