# entry-subent-pointer  : C1993-002-0 
# EXFOR reaction        : ['7-N-15', ['A,G'], '9-F-19,,SIG'] 
# incident energy       : 9.9000e-01 MeV - 1.9100e+00 MeV 
# target                : N-15 
# product               : F-19 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : C.Ugalde 
# institute             : (1USACHI): University of Chicago, IL 
# reference             : (J,PL/B,719,74,2013) 
# year                  : 2013 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1993.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1993
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      9.90000E-01      3.00000E-02      3.28000E-09      2.05000E-10
      1.08000E+00      3.00000E-02      4.79000E-09      3.33000E-10
      1.17000E+00      3.00000E-02      1.47000E-08      1.12000E-09
      1.21000E+00      3.00000E-02      1.13000E-07      8.56000E-09
      1.24000E+00      3.00000E-02      1.01000E-07      9.68000E-09
      1.26000E+00      3.00000E-02      1.70000E-07      1.06000E-08
      1.28000E+00      3.00000E-02      4.58000E-07      3.17000E-08
      1.28000E+00      3.00000E-02      3.24000E-07      3.31000E-08
      1.29000E+00      3.00000E-02      4.84000E-06      3.03000E-07
      1.34000E+00      3.00000E-02      6.18000E-06      4.29000E-07
      1.38000E+00      3.00000E-02      2.99000E-06      1.87000E-07
      1.41000E+00      3.00000E-02      1.85000E-06      1.16000E-07
      1.45000E+00      3.00000E-02      9.95000E-07      7.56000E-08
      1.45000E+00      3.00000E-02      1.16000E-06      9.56000E-08
      1.49000E+00      3.00000E-02      8.13000E-07      6.69000E-08
      1.53000E+00      3.00000E-02      6.94000E-07      7.35000E-08
      1.59000E+00      3.00000E-02      2.91000E-07      3.53000E-08
      1.59000E+00      3.00000E-02      2.77000E-07      3.88000E-08
      1.65000E+00      3.00000E-02      1.88000E-07      2.74000E-08
      1.70000E+00      3.00000E-02      1.11000E-07      1.21000E-08
      1.80000E+00      3.00000E-02      7.06000E-08      1.09000E-08
      1.91000E+00      3.00000E-02      2.50000E-07      1.57000E-08
