# entry-subent-pointer  : T0236-002-0 
# EXFOR reaction        : ['8-O-16', ['A,EL'], '8-O-16,,DA'] 
# incident energy       : 1.5260e+01 MeV 
# target                : O-16 
# product               : O-16 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : J.H.Billen 
# institute             : (1USAWIS): University of Wisconsin, Madison, WI 
# reference             : (J,PR/C,20,1648,1979) 
# year                  : 1979 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0236.x4 
# nds                   : https://nds.iaea.org/EXFOR/T0236
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.93000E+01      0.00000E+00      2.32900E-02      0.00000E+00
      8.36000E+01      0.00000E+00      6.36900E-02      0.00000E+00
      8.90000E+01      0.00000E+00      7.50500E-02      0.00000E+00
      1.09400E+02      0.00000E+00      5.31000E-03      0.00000E+00
      1.14300E+02      0.00000E+00      3.00300E-02      0.00000E+00
      1.14300E+02      0.00000E+00      3.16900E-02      0.00000E+00
      1.19000E+02      0.00000E+00      5.34400E-02      0.00000E+00
      1.36800E+02      0.00000E+00      1.05800E-02      0.00000E+00
      1.53300E+02      0.00000E+00      9.77900E-02      0.00000E+00
      1.57200E+02      0.00000E+00      5.06000E-02      0.00000E+00
      1.72500E+02      0.00000E+00      2.53300E-01      0.00000E+00
