# entry-subent-pointer  : F0441-003-0 
# EXFOR reaction        : ['8-O-16', ['A,EL'], '8-O-16,,DA'] 
# incident energy       : 2.30e+01 MeV 
# target                : O-16 
# product               : O-16 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Takeda 
# institute             : (2JPNOSA): Osaka University , Osaka 
# reference             : (J,JPJ,30,56,1971) 
# year                  : 1971 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F04/F0441.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0441
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      8.62870E+00      2.00000E-01      9.63610E+00      4.81805E-01
      1.02700E+01      2.00000E-01      4.62630E+00      2.31315E-01
      1.22890E+01      2.00000E-01      2.23690E+00      1.11845E-01
      1.43340E+01      2.00000E-01      9.27370E-01      4.63685E-02
      1.54630E+01      2.00000E-01      3.18260E-01      1.59130E-02
      1.80960E+01      2.00000E-01      1.18000E-01      5.90000E-03
      2.00080E+01      2.00000E-01      1.07790E-01      5.38950E-03
      2.23970E+01      2.00000E-01      1.69900E-01      8.49500E-03
      2.48890E+01      2.00000E-01      1.44740E-01      7.23700E-03
      2.77850E+01      2.00000E-01      1.07230E-01      5.36150E-03
      2.92160E+01      2.00000E-01      5.79770E-02      2.89885E-03
      3.13110E+01      2.00000E-01      1.79200E-02      8.96000E-04
      3.43210E+01      2.00000E-01      6.73800E-03      3.36900E-04
      3.68540E+01      2.00000E-01      1.39500E-02      6.97500E-04
      3.90010E+01      2.00000E-01      2.99060E-02      1.49530E-03
      4.13960E+01      2.00000E-01      4.55190E-02      2.27595E-03
      4.42060E+01      2.00000E-01      5.61780E-02      2.80890E-03
      4.64910E+01      2.00000E-01      5.31490E-02      2.65745E-03
      4.90020E+01      2.00000E-01      4.07720E-02      2.03860E-03
      5.06130E+01      2.00000E-01      2.33130E-02      1.16565E-03
      5.25960E+01      2.00000E-01      1.40000E-02      7.00000E-04
      5.49170E+01      2.00000E-01      3.48430E-03      1.74215E-04
      5.71280E+01      2.00000E-01      1.66140E-03      8.30700E-05
      5.94600E+01      2.00000E-01      1.18840E-03      5.94200E-05
      6.15860E+01      2.00000E-01      2.90960E-03      1.45480E-04
      6.44560E+01      2.00000E-01      2.49640E-03      1.24820E-04
      6.63850E+01      2.00000E-01      2.06780E-03      1.03390E-04
      6.85150E+01      2.00000E-01      5.18210E-04      2.59105E-05
      6.99640E+01      2.00000E-01      8.18510E-05      4.09255E-06
      7.33540E+01      2.00000E-01      8.95030E-04      4.47515E-05
      7.71630E+01      2.00000E-01      2.52120E-03      1.26060E-04
      7.92050E+01      2.00000E-01      3.26710E-03      1.63355E-04
      8.10940E+01      2.00000E-01      3.43250E-03      1.71625E-04
      8.37700E+01      2.00000E-01      3.02840E-03      1.51420E-04
      8.69510E+01      2.00000E-01      3.92540E-03      1.96270E-04
      8.82320E+01      2.00000E-01      5.19360E-03      2.59680E-04
      9.04460E+01      2.00000E-01      7.47460E-03      3.73730E-04
      9.24610E+01      2.00000E-01      1.14550E-02      5.72750E-04
      9.44900E+01      2.00000E-01      1.60310E-02      8.01550E-04
      9.61760E+01      2.00000E-01      1.81880E-02      9.09400E-04
      9.86270E+01      2.00000E-01      1.99300E-02      9.96500E-04
      1.00920E+02      2.00000E-01      1.82080E-02      9.10400E-04
      1.02660E+02      2.00000E-01      1.49770E-02      7.48850E-04
      1.04210E+02      2.00000E-01      1.19780E-02      5.98900E-04
      1.05990E+02      2.00000E-01      7.87750E-03      3.93875E-04
      1.07750E+02      2.00000E-01      5.71330E-03      2.85665E-04
      1.10380E+02      2.00000E-01      6.71400E-03      3.35700E-04
      1.12390E+02      2.00000E-01      1.05820E-02      5.29100E-04
      1.14060E+02      2.00000E-01      1.28750E-02      6.43750E-04
      1.16110E+02      2.00000E-01      1.62240E-02      8.11200E-04
      1.17960E+02      2.00000E-01      2.17700E-02      1.08850E-03
