# entry-subent-pointer  : T0236--00-5-0 
# EXFOR reaction        : ['8-O-16', ['A,INL'], '8-O-16,PAR,DA'] 
# incident energy       : 1.46e+01 MeV - 1.79e+01 MeV 
# target                : O-16 
# product               : O-16 
# level energy          : 7.12e+00 MeV 
# MF-MT number          : 4 - ['53'] 
# first author          : J.H.Billen 
# institute             : (1USAWIS): University of Wisconsin, Madison, WI 
# reference             : (J,PR/C,20,1648,1979) 
# year                  : 1979 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0236.x4 
# nds                   : https://nds.iaea.org/EXFOR/T0236
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.75000E+01      0.00000E+00      1.09900E-02              NAN
      4.75000E+01      0.00000E+00      1.15400E-02              NAN
      4.75000E+01      0.00000E+00      1.09100E-02              NAN
      4.75000E+01      0.00000E+00      1.02100E-02              NAN
      4.75000E+01      0.00000E+00      1.07600E-02              NAN
      4.75000E+01      0.00000E+00      1.13800E-02              NAN
      4.75000E+01      0.00000E+00      1.10700E-02              NAN
      4.75000E+01      0.00000E+00      1.08400E-02              NAN
      4.75000E+01      0.00000E+00      1.14600E-02              NAN
      4.75000E+01      0.00000E+00      1.12300E-02              NAN
      4.75000E+01      0.00000E+00      1.14600E-02              NAN
      4.75000E+01      0.00000E+00      1.15400E-02              NAN
      4.75000E+01      0.00000E+00      1.17000E-02              NAN
      4.75000E+01      0.00000E+00      1.23200E-02              NAN
      4.75000E+01      0.00000E+00      1.17700E-02              NAN
      4.75000E+01      0.00000E+00      1.21600E-02              NAN
      4.75000E+01      0.00000E+00      1.17700E-02              NAN
      4.75000E+01      0.00000E+00      1.17000E-02              NAN
      4.75000E+01      0.00000E+00      1.10000E-02              NAN
      4.75000E+01      0.00000E+00      1.05300E-02              NAN
      4.75000E+01      0.00000E+00      1.08400E-02              NAN
      4.75000E+01      0.00000E+00      1.03000E-02              NAN
      4.75000E+01      0.00000E+00      9.90600E-03              NAN
      4.75000E+01      0.00000E+00      9.51700E-03              NAN
      4.75000E+01      0.00000E+00      8.73800E-03              NAN
      4.75000E+01      0.00000E+00      8.50500E-03              NAN
      4.75000E+01      0.00000E+00      8.19300E-03              NAN
      4.75000E+01      0.00000E+00      9.36200E-03              NAN
      4.75000E+01      0.00000E+00      1.07600E-02              NAN
      4.75000E+01      0.00000E+00      1.03700E-02              NAN
      4.75000E+01      0.00000E+00      9.82900E-03              NAN
      4.75000E+01      0.00000E+00      9.44000E-03              NAN
      4.75000E+01      0.00000E+00      9.82900E-03              NAN
      4.75000E+01      0.00000E+00      1.03000E-02              NAN
      4.75000E+01      0.00000E+00      9.75200E-03              NAN
      4.75000E+01      0.00000E+00      9.28500E-03              NAN
      4.75000E+01      0.00000E+00      8.97300E-03              NAN
      4.75000E+01      0.00000E+00      8.74000E-03              NAN
      4.75000E+01      0.00000E+00      8.50600E-03              NAN
      4.75000E+01      0.00000E+00      7.96100E-03              NAN
      4.75000E+01      0.00000E+00      8.35100E-03              NAN
      4.75000E+01      0.00000E+00      8.27300E-03              NAN
      4.75000E+01      0.00000E+00      8.42900E-03              NAN
      4.75000E+01      0.00000E+00      7.88400E-03              NAN
      4.75000E+01      0.00000E+00      7.65100E-03              NAN
      4.75000E+01      0.00000E+00      7.18400E-03              NAN
      4.75000E+01      0.00000E+00      7.57300E-03              NAN
      4.75000E+01      0.00000E+00      7.96300E-03              NAN
      4.75000E+01      0.00000E+00      7.65100E-03              NAN
      4.75000E+01      0.00000E+00      7.80700E-03              NAN
      4.75000E+01      0.00000E+00      7.49600E-03              NAN
      4.75000E+01      0.00000E+00      8.19700E-03              NAN
      4.75000E+01      0.00000E+00      7.57400E-03              NAN
      4.75000E+01      0.00000E+00      7.26300E-03              NAN
      4.75000E+01      0.00000E+00      6.64000E-03              NAN
      4.75000E+01      0.00000E+00      6.25100E-03              NAN
      4.75000E+01      0.00000E+00      5.78400E-03              NAN
      4.75000E+01      0.00000E+00      5.16100E-03              NAN
      4.75000E+01      0.00000E+00      4.53800E-03              NAN
      4.75000E+01      0.00000E+00      4.38200E-03              NAN
      4.75000E+01      0.00000E+00      3.99300E-03              NAN
