# entry-subent-pointer  : O1356-003-0 
# EXFOR reaction        : ['78-PT-0', ['A,X'], '79-AU-195,CUM,SIG,,DAM'] 
# incident energy       : 3.84e+01 MeV - 8.22e+01 MeV 
# target                : Pt-0 
# product               : Au-195 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : O.A.Capurro 
# institute             : (3ARGCNE): Comision Nacional de Energia Atomica, Buenos Aires 
# reference             : (J,JRN,150,15,1991) 
# year                  : 1991 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O13/O1356.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1356
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      8.22000E+01      5.00000E-01      6.22000E-04      1.26000E-04
      8.13000E+01      5.00000E-01      1.04000E-03      2.10000E-04
      7.86000E+01      5.00000E-01      4.72000E-04      9.50000E-05
      7.77000E+01      5.00000E-01      4.32000E-04      8.70000E-05
      7.68000E+01      5.00000E-01      3.71000E-04      7.50000E-05
      7.59000E+01      5.00000E-01      3.94000E-04      8.00000E-05
      7.50000E+01      5.00000E-01      3.84000E-04      7.70000E-05
      7.41000E+01      5.00000E-01      4.49000E-04      9.10000E-05
      7.32000E+01      5.00000E-01      3.55000E-04      7.20000E-05
      7.23000E+01      5.00000E-01      4.20000E-04      8.50000E-05
      7.14000E+01      5.00000E-01      3.53000E-04      7.10000E-05
      6.84000E+01      5.00000E-01      3.68000E-04      7.40000E-05
      6.74000E+01      5.00000E-01      3.70000E-04      7.50000E-05
      6.64000E+01      5.00000E-01      4.38000E-04      8.80000E-05
      6.54000E+01      5.00000E-01      3.64000E-04      7.40000E-05
      6.44000E+01      5.00000E-01      2.92000E-04      5.90000E-05
      6.02000E+01      5.00000E-01      3.68000E-04      7.40000E-05
      5.91000E+01      5.00000E-01      3.32000E-04      6.70000E-05
      5.81000E+01      5.00000E-01      3.02000E-04      6.50000E-05
      5.70000E+01      5.00000E-01      3.63000E-04      7.30000E-05
      5.59000E+01      5.00000E-01      2.58000E-04      5.20000E-05
      5.12000E+01      5.00000E-01      2.31000E-04      4.70000E-05
      4.88000E+01      5.00000E-01      1.65000E-04      3.30000E-05
      4.38000E+01      5.00000E-01      1.46000E-04      3.00000E-05
      4.11000E+01      5.00000E-01      1.28000E-04      2.60000E-05
      3.98000E+01      5.00000E-01      1.66000E-04      3.30000E-05
      3.84000E+01      5.00000E-01      1.16000E-04      2.30000E-05
