# entry-subent-pointer  : F0637--00-5-0 
# EXFOR reaction        : ['16-S-32', ['A,EL'], '16-S-32,,DA'] 
# incident energy       : 1.61e+01 MeV 
# target                : S-32 
# product               : S-32 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : H.Hulubei 
# institute             : (3RUMCIP): Central Institute of Physics, Bucharest 
# reference             : (J,RRP,11,329,1966) 
# year                  : 1966 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F06/F0637.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0637
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      7.45000E+01      3.00000E-01      1.50900E-03      1.05630E-04
      8.00600E+01      3.00000E-01      2.35600E-03      1.64920E-04
      8.46300E+01      3.00000E-01      1.47300E-03      1.03110E-04
      8.92100E+01      3.00000E-01      5.89000E-04      4.12300E-05
      9.46700E+01      3.00000E-01      1.11900E-03      7.83300E-05
      9.97900E+01      3.00000E-01      1.89400E-03      1.32580E-04
      1.04500E+02      3.00000E-01      1.49800E-03      1.04860E-04
      1.09500E+02      3.00000E-01      5.89000E-04      4.12300E-05
      1.15300E+02      3.00000E-01      1.07000E-03      7.49000E-05
      1.20100E+02      3.00000E-01      7.71400E-04      5.39980E-05
      1.24300E+02      3.00000E-01      1.13200E-03      7.92400E-05
      1.29700E+02      3.00000E-01      1.44300E-03      1.01010E-04
      1.37100E+02      3.00000E-01      1.89800E-03      1.32860E-04
      1.39800E+02      3.00000E-01      1.48000E-03      1.03600E-04
      1.45200E+02      3.00000E-01      1.64400E-03      1.15080E-04
