# entry-subent-pointer  : O0963--00-4-0 
# EXFOR reaction        : ['16-S-32', ['A,EL'], '16-S-32,,DA'] 
# incident energy       : 7.70e+00 MeV 
# target                : S-32 
# product               : S-32 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : A.Coban 
# institute             : (3SARDHA): King Fhad University of Petroleum and Minerals, Dhahran 
# reference             : (J,NP/A,645,3,1999) 
# year                  : 1999 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O09/O0963.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0963
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.27000E+01      7.00000E-01      4.74000E+00              NAN
      3.50000E+01      7.00000E-01      3.51000E+00              NAN
      3.74000E+01      7.00000E-01      2.78000E+00              NAN
      3.93000E+01      7.00000E-01      2.01000E+00              NAN
      4.21000E+01      7.00000E-01      1.79000E+00              NAN
      4.41000E+01      7.00000E-01      1.46000E+00              NAN
      4.60000E+01      7.00000E-01      1.10000E+00              NAN
      4.88000E+01      7.00000E-01      8.95000E-01              NAN
      5.07000E+01      7.00000E-01      7.61000E-01              NAN
      5.31000E+01      7.00000E-01      6.78000E-01              NAN
      5.51000E+01      7.00000E-01      5.50000E-01              NAN
      5.82000E+01      7.00000E-01      4.57000E-01              NAN
      5.94000E+01      7.00000E-01      3.98000E-01              NAN
      6.14000E+01      7.00000E-01      3.71000E-01              NAN
      6.41000E+01      7.00000E-01      2.88000E-01              NAN
      6.53000E+01      7.00000E-01      2.08000E-01              NAN
      6.84000E+01      7.00000E-01      1.77000E-01              NAN
      6.96000E+01      7.00000E-01      1.61000E-01              NAN
      7.20000E+01      7.00000E-01      1.50000E-01              NAN
      7.43000E+01      7.00000E-01      1.04000E-01              NAN
      7.63000E+01      7.00000E-01      9.20000E-02              NAN
      8.10000E+01      7.00000E-01      7.50000E-02              NAN
      8.70000E+01      7.00000E-01      5.06000E-02              NAN
      9.13000E+01      7.00000E-01      5.18000E-02              NAN
      9.29000E+01      7.00000E-01      4.83000E-02              NAN
      9.41000E+01      7.00000E-01      4.11000E-02              NAN
      9.76000E+01      7.00000E-01      4.11000E-02      5.00000E-03
      9.92000E+01      7.00000E-01      4.01000E-02      6.00000E-03
      1.01200E+02      7.00000E-01      3.41000E-02      6.00000E-03
      1.03500E+02      7.00000E-01      2.90000E-02      6.00000E-03
      1.05100E+02      7.00000E-01      2.77000E-02      5.00000E-03
      1.07500E+02      7.00000E-01      2.20000E-02      1.20000E-02
      1.09400E+02      7.00000E-01      2.36000E-02      1.00000E-02
      1.10600E+02      7.00000E-01      2.10000E-02      1.20000E-02
      1.12600E+02      7.00000E-01      2.10000E-02      8.00000E-03
      1.15000E+02      7.00000E-01      1.70000E-02      8.00000E-03
      1.16900E+02      7.00000E-01      1.96000E-02      1.00000E-02
      1.18900E+02      7.00000E-01      1.91000E-02      8.00000E-03
      1.20500E+02      7.00000E-01      2.10000E-02      8.00000E-03
      1.22500E+02      7.00000E-01      1.91000E-02      8.00000E-03
      1.24500E+02      7.00000E-01      2.20000E-02      8.00000E-03
      1.26000E+02      7.00000E-01      1.87000E-02      8.00000E-03
      1.27600E+02      7.00000E-01      2.10000E-02      8.00000E-03
      1.30800E+02      7.00000E-01      2.00000E-02      9.00000E-03
      1.33200E+02      7.00000E-01      2.20000E-02      9.00000E-03
      1.36300E+02      7.00000E-01      2.10000E-02      8.00000E-03
      1.39100E+02      7.00000E-01      2.00000E-02      9.00000E-03
      1.39900E+02      7.00000E-01      1.74000E-02      8.00000E-03
      1.43400E+02      7.00000E-01      1.52000E-02      7.00000E-03
      1.45800E+02      7.00000E-01      1.45000E-02      8.00000E-03
      1.46600E+02      7.00000E-01      1.91000E-02      9.00000E-03
      1.48200E+02      7.00000E-01      1.48000E-02      5.00000E-03
      1.49800E+02      7.00000E-01      1.59000E-02      6.00000E-03
      1.52500E+02      7.00000E-01      1.74000E-02      7.00000E-03
      1.54500E+02      7.00000E-01      2.20000E-02      5.00000E-03
      1.56100E+02      7.00000E-01      2.53000E-02      5.00000E-03
      1.56900E+02      7.00000E-01      3.11000E-02      5.00000E-03
      1.60100E+02      7.00000E-01      3.83000E-02      5.00000E-03
      1.60500E+02      7.00000E-01      4.51000E-02      5.00000E-03
      1.61700E+02      7.00000E-01      5.18000E-02      5.00000E-03
      1.64100E+02      7.00000E-01      5.81000E-02      5.00000E-03
      1.66500E+02      7.00000E-01      6.68000E-02      5.00000E-03
      1.67300E+02      7.00000E-01      7.68000E-02      5.00000E-03
      1.70000E+02      7.00000E-01      8.04000E-02      5.00000E-03
      1.72000E+02      7.00000E-01      1.06000E-01      7.00000E-03
      1.74400E+02      7.00000E-01      1.09000E-01      7.00000E-03
