# entry-subent-pointer  : C2522-024-0 
# EXFOR reaction        : ['90-TH-230', ['A,F'], 'MASS,PRE,AKE,LF+HF'] 
# incident energy       : 2.95e+01 MeV 
# target                : Th-230 
# product               : 118.48 <= mass <= 155.011 
# level energy          : - 
# MF-MT number          : ? - 18 
# first author          : H.C.Britt 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR,133,B603,1964) 
# year                  : 1964 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C25/C2522.x4 
# nds                   : https://nds.iaea.org/EXFOR/C2522
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      2.95000E+01      2.00000E-01      1.64577E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.65120E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.66288E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.68429E+08      1.73600E+06
      2.95000E+01      2.00000E-01      1.70501E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.72158E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.72286E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.71789E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.71433E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.70243E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.69471E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.68351E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.66817E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.65976E+08      0.00000E+00
      2.95000E+01      2.00000E-01      1.64720E+08      4.87000E+05
      2.95000E+01      2.00000E-01      1.63531E+08      3.48000E+05
      2.95000E+01      2.00000E-01      1.61719E+08      3.48000E+05
      2.95000E+01      2.00000E-01      1.60671E+08      5.56000E+05
      2.95000E+01      2.00000E-01      1.60039E+08      6.27000E+05
      2.95000E+01      2.00000E-01      1.58852E+08      9.03000E+05
