# entry-subent-pointer  : F1269-002-0 
# EXFOR reaction        : (79-AU-197(D,X)ELEM/MASS,CUM,SIG) 
# incident energy       : 4.4000e+03 MeV 
# target                : Au-197 
# product               : Tb-153 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Balabekyan 
# institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
# reference             : (J,PR/C,90,054612,2014) 
# year                  : 2014 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F12/F1269.x4 
# nds                   : https://nds.iaea.org/EXFOR/F1269
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.4000E+03        0.0000E+00        8.0200E-03        8.0000E-04
        4.4000E+03        0.0000E+00        2.3000E-03        6.6000E-04
        4.4000E+03        0.0000E+00        3.3400E-03        1.3000E-04
        4.4000E+03        0.0000E+00        5.0000E-03        1.7000E-03
        4.4000E+03        0.0000E+00        7.0000E-04        1.6000E-04
        4.4000E+03        0.0000E+00        1.1400E-03        9.0000E-05
        4.4000E+03        0.0000E+00        6.6000E-04        9.0000E-05
        4.4000E+03        0.0000E+00        1.8100E-03        3.6000E-04
        4.4000E+03        0.0000E+00        2.2600E-03        7.2000E-04
        4.4000E+03        0.0000E+00        3.4000E-04        1.0000E-04
        4.4000E+03        0.0000E+00        3.2200E-03        4.7000E-04
        4.4000E+03        0.0000E+00        4.2900E-03        3.3000E-04
        4.4000E+03        0.0000E+00        1.6000E-04        9.0000E-05
        4.4000E+03        0.0000E+00        3.0000E-04        4.0000E-05
        4.4000E+03        0.0000E+00        3.4000E-03        2.2000E-04
        4.4000E+03        0.0000E+00        4.8200E-03        1.2000E-04
        4.4000E+03        0.0000E+00        2.1800E-03        4.2000E-04
        4.4000E+03        0.0000E+00        5.9200E-03        6.6000E-04
        4.4000E+03        0.0000E+00        4.0400E-03        7.0000E-05
        4.4000E+03        0.0000E+00        1.0300E-02        2.1000E-03
        4.4000E+03        0.0000E+00        6.2100E-03        8.8000E-04
        4.4000E+03        0.0000E+00        8.9300E-03        1.0200E-03
        4.4000E+03        0.0000E+00        6.0100E-03        8.0000E-04
        4.4000E+03        0.0000E+00        9.4400E-03        5.0000E-04
        4.4000E+03        0.0000E+00        7.2600E-03        9.0000E-04
        4.4000E+03        0.0000E+00        7.0000E-04        3.8000E-04
        4.4000E+03        0.0000E+00        4.8000E-03        9.4000E-04
        4.4000E+03        0.0000E+00        3.5000E-04        3.0000E-05
        4.4000E+03        0.0000E+00        3.4600E-03        4.2000E-04
        4.4000E+03        0.0000E+00        2.6700E-03        3.4000E-04
        4.4000E+03        0.0000E+00        1.3200E-03        1.3000E-04
        4.4000E+03        0.0000E+00        4.9200E-03        7.0000E-05
        4.4000E+03        0.0000E+00        1.3100E-03        3.6000E-04
        4.4000E+03        0.0000E+00        8.1000E-03        1.1000E-03
        4.4000E+03        0.0000E+00        8.0000E-03        1.1000E-03
        4.4000E+03        0.0000E+00        1.7400E-02        1.9000E-03
        4.4000E+03        0.0000E+00        2.3000E-04        2.0000E-05
        4.4000E+03        0.0000E+00        2.4000E-03        4.6000E-04
        4.4000E+03        0.0000E+00        6.6000E-04        9.0000E-05
        4.4000E+03        0.0000E+00        2.9300E-03        8.8000E-04
        4.4000E+03        0.0000E+00        1.2200E-03        1.6000E-04
        4.4000E+03        0.0000E+00        1.0900E-02        1.2000E-03
        4.4000E+03        0.0000E+00        1.4900E-02        1.2000E-03
        4.4000E+03        0.0000E+00        7.9000E-04        8.0000E-05
        4.4000E+03        0.0000E+00        1.1710E-02        9.5000E-04
        4.4000E+03        0.0000E+00        7.4000E-03        1.6000E-03
        4.4000E+03        0.0000E+00        1.2940E-02        9.6000E-04
        4.4000E+03        0.0000E+00        1.5400E-03        1.4000E-04
        4.4000E+03        0.0000E+00        1.4300E-02        2.0000E-03
        4.4000E+03        0.0000E+00        1.9200E-02        1.4000E-03
        4.4000E+03        0.0000E+00        1.3200E-02        2.1000E-03
        4.4000E+03        0.0000E+00        2.9900E-03        5.0000E-04
        4.4000E+03        0.0000E+00        5.3900E-03        9.7000E-04
        4.4000E+03        0.0000E+00        4.0100E-03        9.7000E-04
        4.4000E+03        0.0000E+00        2.1800E-02        3.2000E-03
        4.4000E+03        0.0000E+00        2.6800E-02        3.0000E-03
        4.4000E+03        0.0000E+00        4.1600E-03        4.2000E-04
        4.4000E+03        0.0000E+00        2.5200E-02        1.8000E-03
        4.4000E+03        0.0000E+00        1.3600E-03        3.0000E-04
        4.4000E+03        0.0000E+00        2.7100E-02        3.0000E-03
        4.4000E+03        0.0000E+00        2.4100E-03        2.4000E-04
        4.4000E+03        0.0000E+00        2.7500E-03        7.5000E-04
        4.4000E+03        0.0000E+00        4.9000E-02        9.4000E-03
        4.4000E+03        0.0000E+00        2.6900E-02        2.2000E-03
        4.4000E+03        0.0000E+00        1.1300E-03        1.0000E-04
        4.4000E+03        0.0000E+00        2.7400E-02        8.0000E-03
        4.4000E+03        0.0000E+00        1.5000E-02        3.5000E-03
        4.4000E+03        0.0000E+00        2.6600E-02        2.0000E-03
        4.4000E+03        0.0000E+00        1.5400E-02        2.6000E-03
