# entry-subent-pointer  : A0209-014-0 
# EXFOR reaction        : (27-CO-59(D,X)24-CR-51,CUM,SIG) 
# incident energy       : 4.3340e+01 MeV - 8.4690e+01 MeV 
# target                : Co-59 
# product               : Cr-51 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Michel 
# institute             : (2GERKLN): Universitaet zu Koeln, Koeln 
# reference             : (J,ARI,34,1325,1983) 
# year                  : 1983 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A02/A0209.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0209
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        8.4690E+01        2.9000E-01        1.8100E-02        1.2000E-03
        7.9130E+01        4.4000E-01        1.1600E-02        8.0000E-04
        7.3700E+01        5.3000E-01        8.4500E-03        6.6000E-04
        6.8910E+01        5.8000E-01        8.3600E-03        6.4000E-04
        6.3580E+01        6.5000E-01        9.9700E-03        7.4000E-04
        5.8160E+01        7.0000E-01        1.1700E-02        9.0000E-04
        5.3170E+01        7.6000E-01        1.1300E-02        9.0000E-04
        4.8390E+01        8.1000E-01        7.4300E-03        7.0000E-04
        4.7230E+01        4.2000E-01        7.3400E-03        6.1000E-04
        4.3590E+01        8.3000E-01        2.9000E-03        6.7000E-04
        4.3340E+01        5.1000E-01        3.3700E-03        4.4000E-04
