# entry-subent-pointer  : C0336--00-4-0 
# EXFOR reaction        : ['24-CR-52', ['D,2N'], '25-MN-52-G,,SIG'] 
# incident energy       : 8.71e+00 MeV - 1.98e+01 MeV 
# target                : Cr-52 
# product               : Mn-52-G 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : H.I.West 
# institute             : (1USALRL): Lawrence Livermore National Laboratory, Livermore, CA 
# reference             : (J,PR/C,35,2067,87) 
# year                  : 1987 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C03/C0336.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0336
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      8.71000E+00      0.00000E+00      4.70000E-03              NAN
      8.97000E+00      0.00000E+00      7.95000E-03              NAN
      9.46000E+00      0.00000E+00      1.71100E-02              NAN
      9.60000E+00      0.00000E+00      2.47300E-02              NAN
      9.89000E+00      0.00000E+00      3.09000E-02              NAN
      9.97000E+00      0.00000E+00      3.37000E-02              NAN
      1.06200E+01      0.00000E+00      5.74900E-02              NAN
      1.09700E+01      0.00000E+00      7.34900E-02              NAN
      1.14700E+01      0.00000E+00      8.60400E-02              NAN
      1.17500E+01      0.00000E+00      9.90000E-02              NAN
      1.17600E+01      0.00000E+00      9.59000E-02              NAN
      1.34700E+01      0.00000E+00      1.38900E-01              NAN
      1.37800E+01      0.00000E+00      1.47500E-01              NAN
      1.50500E+01      0.00000E+00      1.66900E-01              NAN
      1.58200E+01      0.00000E+00      1.74200E-01              NAN
      1.58900E+01      0.00000E+00      1.78500E-01              NAN
      1.69100E+01      0.00000E+00      1.83900E-01              NAN
      1.76600E+01      0.00000E+00      1.89600E-01              NAN
      1.78000E+01      0.00000E+00      1.94100E-01              NAN
      1.82500E+01      0.00000E+00      1.95400E-01              NAN
      1.88300E+01      0.00000E+00      1.95200E-01              NAN
      1.93200E+01      0.00000E+00      1.92600E-01              NAN
      1.95800E+01      0.00000E+00      1.94100E-01              NAN
      1.98200E+01      0.00000E+00      1.94700E-01              NAN
