# entry-subent-pointer  : D0968--00-2-2 
# EXFOR reaction        : ['29-CU-0', ['D,X'], '30-ZN-63,,SIG'] 
# incident energy       : 9.01e+00 MeV - 1.92e+01 MeV 
# target                : Cu-0 
# product               : Zn-63 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : O.Lebeda 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,NIM/B,461,105,2019) 
# year                  : 2019 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D09/D0968.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0968
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.92200E+01      0.00000E+00      2.29000E-01      1.70000E-02
      1.82600E+01      0.00000E+00      2.36000E-01      1.70000E-02
      1.72600E+01      0.00000E+00      2.43000E-01      1.80000E-02
      1.62500E+01      0.00000E+00      2.42000E-01      1.80000E-02
      1.54300E+01      0.00000E+00      2.41000E-01      1.80000E-02
      1.46300E+01      0.00000E+00      2.22000E-01      1.60000E-02
      1.38100E+01      0.00000E+00      2.17000E-01      1.60000E-02
      1.29500E+01      0.00000E+00      1.99000E-01      1.50000E-02
      1.20600E+01      0.00000E+00      1.82000E-01      1.30000E-02
      1.11100E+01      0.00000E+00      1.50000E-01      1.10000E-02
      1.00800E+01      0.00000E+00      1.16800E-01      8.60000E-03
      9.01000E+00      0.00000E+00      7.40000E-02      5.40000E-03
