# entry-subent-pointer  : O1767--00-2-0 
# EXFOR reaction        : ['26-FE-56', ['D,INL'], '26-FE-56,PAR,DA'] 
# incident energy       : 1.15e+01 MeV 
# target                : Fe-56 
# product               : Fe-56 
# level energy          : 3.60e+00 MeV 
# MF-MT number          : 4 - ['60'] 
# first author          : R.K.Jolly 
# institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
# reference             : (J,NP/A,146,514,1970) 
# year                  : 1970 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O17/O1767.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1767
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.59000E+01      4.00000E-01      7.20000E-05      7.20000E-06
      3.08000E+01      4.00000E-01      8.10000E-05      4.86000E-06
      3.54000E+01      4.00000E-01      8.90000E-05      8.90000E-06
      4.07000E+01      4.00000E-01      7.50000E-05      6.75000E-06
      4.57000E+01      4.00000E-01      5.40000E-05      4.86000E-06
      5.19000E+01      4.00000E-01      5.00000E-05      5.00000E-06
      5.69000E+01      4.00000E-01      3.90000E-05      3.12000E-06
      6.16000E+01      4.00000E-01      3.10000E-05      4.03000E-06
      6.98000E+01      4.00000E-01      2.46000E-05      2.95200E-06
      7.64000E+01      4.00000E-01      3.10000E-05      4.03000E-06
      8.50000E+01      4.00000E-01      3.70000E-05      2.96000E-06
      9.22000E+01      4.00000E-01      3.30000E-05      2.97000E-06
      1.02100E+02      4.00000E-01      2.70000E-05      2.97000E-06
