# entry-subent-pointer  : A1098--00-2-0 
# EXFOR reaction        : ['2-HE-3', ['D,EL'], '2-HE-3,,DA'] 
# incident energy       : 1.22e+00 MeV 
# target                : He-3 
# product               : He-3 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Allab 
# institute             : (3ALGCDT): Centre de Recherche Nucleaire d'Alger (CRNA), Algiers 
# reference             : (J,NC/A,36,95,1976) 
# year                  : 1976 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A10/A1098.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1098
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.50000E+01      1.00000E+00      8.18200E-01              NAN
      4.00000E+01      1.00000E+00      5.77800E-01              NAN
      4.73000E+01      1.00000E+00      2.96000E-01              NAN
      5.40000E+01      1.00000E+00      2.29900E-01              NAN
      6.70000E+01      1.00000E+00      1.72400E-01              NAN
      6.92000E+01      1.00000E+00      1.47600E-01              NAN
      7.35000E+01      1.00000E+00      1.47800E-01              NAN
      8.86000E+01      1.00000E+00      1.40200E-01              NAN
      9.28000E+01      1.00000E+00      1.48700E-01              NAN
      9.50000E+01      1.00000E+00      1.32200E-01              NAN
      1.01400E+02      1.00000E+00      1.57400E-01              NAN
      1.07800E+02      1.00000E+00      1.49400E-01              NAN
      1.12100E+02      1.00000E+00      1.74500E-01              NAN
      1.22800E+02      1.00000E+00      1.83300E-01              NAN
      1.24800E+02      1.00000E+00      2.24900E-01              NAN
