# entry-subent-pointer  : A1061-002-0 
# EXFOR reaction        : ['2-HE-3', ['D,P'], '2-HE-4,,DA'] 
# incident energy       : 4.00e+00 MeV 
# target                : He-3 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 103 
# first author          : W.Gruebler 
# institute             : (2SWTETH): Eidgenossische Technische Hochschule, Zuerich 
# reference             : (J,NP/A,176,631,1971) 
# year                  : 1971 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A10/A1061.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1061
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.48000E+01      8.00000E-01      9.07000E-03      0.00000E+00
      3.30000E+01      8.00000E-01      7.71000E-03      0.00000E+00
      4.13000E+01      8.00000E-01      6.62000E-03      0.00000E+00
      5.02000E+01      8.00000E-01      6.21000E-03      0.00000E+00
      5.77000E+01      8.00000E-01      5.60000E-03      0.00000E+00
      6.66000E+01      8.00000E-01      5.20000E-03      0.00000E+00
      7.48000E+01      8.00000E-01      4.79000E-03      0.00000E+00
      8.24000E+01      8.00000E-01      4.45000E-03      0.00000E+00
      9.06000E+01      8.00000E-01      4.39000E-03      0.00000E+00
      9.81000E+01      8.00000E-01      4.19000E-03      0.00000E+00
      1.05000E+02      8.00000E-01      4.33000E-03      0.00000E+00
      1.11800E+02      8.00000E-01      4.47000E-03      0.00000E+00
      1.19300E+02      8.00000E-01      4.68000E-03      0.00000E+00
      1.26200E+02      8.00000E-01      5.03000E-03      0.00000E+00
      1.33000E+02      8.00000E-01      5.30000E-03      0.00000E+00
      1.40500E+02      8.00000E-01      5.58000E-03      0.00000E+00
      1.47400E+02      8.00000E-01      5.79000E-03      0.00000E+00
      1.53500E+02      8.00000E-01      5.93000E-03      0.00000E+00
      1.60400E+02      8.00000E-01      6.00000E-03      0.00000E+00
