# entry-subent-pointer  : B0143-010-0 
# EXFOR reaction        : ['53-I-127', ['D,X'], '53-I-124,,SIG,,,EXP'] 
# incident energy       : 4.5600e+01 MeV - 8.9300e+01 MeV 
# target                : I-127 
# product               : I-124 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : R.Weinreich 
# institute             : (2GERJUL): Forschungszentrum Juelich, Juelich 
# reference             : (J,ARI,25,535,1974) 
# year                  : 1974 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/B01/B0143.x4 
# nds                   : https://nds.iaea.org/EXFOR/B0143
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.56000E+01      0.00000E+00      5.80000E-03      0.00000E+00
      4.73000E+01      0.00000E+00      9.40000E-03      0.00000E+00
      4.97000E+01      0.00000E+00      1.80000E-02      0.00000E+00
      5.19000E+01      0.00000E+00      2.60000E-02      0.00000E+00
      5.46000E+01      0.00000E+00      5.60000E-02      0.00000E+00
      5.63000E+01      0.00000E+00      6.10000E-02      0.00000E+00
      5.84000E+01      0.00000E+00      7.70000E-02      0.00000E+00
      6.05000E+01      0.00000E+00      1.10000E-01      0.00000E+00
      6.25000E+01      0.00000E+00      1.00000E-01      0.00000E+00
      6.44000E+01      0.00000E+00      1.10000E-01      0.00000E+00
      6.65000E+01      0.00000E+00      9.90000E-02      0.00000E+00
      6.83000E+01      0.00000E+00      1.20000E-01      0.00000E+00
      7.02000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      7.20000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      7.41000E+01      0.00000E+00      1.10000E-01      0.00000E+00
      7.59000E+01      0.00000E+00      1.50000E-01      0.00000E+00
      7.72000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      7.84000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      8.20000E+01      0.00000E+00      1.30000E-01      0.00000E+00
      8.38000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      8.51000E+01      0.00000E+00      1.30000E-01      0.00000E+00
      8.71000E+01      0.00000E+00      1.40000E-01      0.00000E+00
      8.93000E+01      0.00000E+00      1.40000E-01      0.00000E+00
