# entry-subent-pointer  : D4262-013-0 
# EXFOR reaction        : ['36-KR-0', ['D,X'], '35-BR-77,CUM,SIG'] 
# incident energy       : 2.6700e+00 MeV - 2.0640e+01 MeV 
# target                : Kr-0 
# product               : Br-77 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : F.Ditroi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,ARI,70,574,2012) 
# year                  : 2012 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D42/D4262.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4262
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.67000E+00      3.10000E-01      3.30000E-04      4.00000E-05
      4.09000E+00      2.30000E-01      1.70000E-04      3.00000E-05
      5.24000E+00      2.00000E-01      1.40000E-04      4.00000E-05
      5.78000E+00      2.70000E-01      1.61000E-03      2.00000E-04
      6.63000E+00      2.30000E-01      1.19000E-03      1.60000E-04
      7.42000E+00      2.00000E-01      2.12000E-03      3.00000E-04
      1.08600E+01      2.70000E-01      2.70000E-04      6.00000E-05
      1.19900E+01      2.30000E-01      3.50000E-04      8.00000E-05
      1.30500E+01      2.00000E-01      5.50000E-04      9.00000E-05
      1.44100E+01      2.70000E-01      3.22000E-03      1.44000E-03
      1.85700E+01      2.70000E-01      7.59000E-03      3.16000E-03
      1.96200E+01      2.30000E-01      8.60000E-03      1.28000E-03
      2.06400E+01      2.00000E-01      1.27300E-02      4.38000E-03
