# entry-subent-pointer  : A1424-003-0 
# EXFOR reaction        : ['3-LI-6', ['D,A'], '2-HE-4,,DA,,,EXP'] 
# incident energy       : 9.0000e-01 MeV 
# target                : Li-6 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 107 
# first author          : M.Huez 
# institute             : (2BLGLIE): University of Liege, Liege 
# reference             : (J,BSL,38,681,1969) 
# year                  : 1969 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A14/A1424.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1424
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -8.75300E-01      0.00000E+00      5.02800E-03      0.00000E+00
     -8.24400E-01      0.00000E+00      4.86000E-03      0.00000E+00
     -6.85000E-01      0.00000E+00      4.77100E-03      0.00000E+00
     -5.70500E-01      0.00000E+00      4.46200E-03      0.00000E+00
     -4.56400E-01      0.00000E+00      4.38600E-03      0.00000E+00
     -2.66100E-01      0.00000E+00      4.11600E-03      0.00000E+00
     -8.88000E-02      0.00000E+00      4.08000E-03      0.00000E+00
      7.58000E-02      0.00000E+00      4.09600E-03      0.00000E+00
      2.40000E-01      0.00000E+00      4.11200E-03      0.00000E+00
      2.40300E-01      0.00000E+00      4.28100E-03      0.00000E+00
      3.92100E-01      0.00000E+00      4.16700E-03      0.00000E+00
      5.94100E-01      0.00000E+00      4.43000E-03      0.00000E+00
      7.33100E-01      0.00000E+00      4.56200E-03      0.00000E+00
      8.46000E-01      0.00000E+00      4.95300E-03      0.00000E+00
      8.46400E-01      0.00000E+00      5.16100E-03      0.00000E+00
      9.34600E-01      0.00000E+00      5.16300E-03      0.00000E+00
      9.72000E-01      0.00000E+00      5.44900E-03      0.00000E+00
      9.72000E-01      0.00000E+00      5.47500E-03      0.00000E+00
      9.97500E-01      0.00000E+00      5.37200E-03      0.00000E+00
