# entry-subent-pointer  : D0818-012-0 
# EXFOR reaction        : (28-NI-0(D,X)27-CO-55,,SIG) 
# incident energy       : 7.8400e+00 MeV - 1.9590e+01 MeV 
# target                : Ni-0 
# product               : Co-55 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Avrigeanu 
# institute             : (3RUMBUC): Horia Hulubei National Institute (IFIN-HH), Magurele 
# reference             : (J,PR/C,94,014606,2016) 
# year                  : 2016 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D08/D0818.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0818
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.9590E+01        3.4000E-01        1.9370E-02        1.1200E-03
        1.9250E+01        3.4000E-01        1.9350E-02        1.1700E-03
        1.8390E+01        3.7000E-01        1.6740E-02        9.9000E-04
        1.8240E+01        3.3000E-01        1.6590E-02        9.8000E-04
        1.7140E+01        3.5000E-01        1.3920E-02        8.1000E-04
        1.5850E+01        3.9000E-01        1.1130E-02        6.4000E-04
        1.5830E+01        3.6000E-01        1.1090E-02        6.5000E-04
        1.4670E+01        3.9000E-01        8.6900E-03        5.2000E-04
        1.4510E+01        3.6000E-01        8.1200E-03        4.7000E-04
        1.3110E+01        4.5000E-01        4.2700E-03        2.5000E-04
        1.1900E+01        4.9000E-01        1.5300E-03        9.0000E-05
        1.1730E+01        4.7000E-01        1.5600E-03        9.0000E-05
        1.1520E+01        4.9000E-01        9.5300E-04        5.6000E-05
        1.0270E+01        4.8000E-01        2.1100E-04        1.3000E-05
        1.0150E+01        5.1000E-01        1.5500E-04        1.0000E-05
        9.8100E+00        5.1000E-01        5.6000E-05        5.0000E-06
        7.8400E+00        6.3000E-01        8.0000E-06        1.0000E-06
