# entry-subent-pointer  : E2121-022-0 
# EXFOR reaction        : (28-NI-0(D,X)29-CU-61,,SIG) 
# incident energy       : 1.4230e+01 MeV - 4.7840e+01 MeV 
# target                : Ni-0 
# product               : Cu-61 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Ochiai 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (C,2007NICE,2,1011,2007) 
# year                  : 2007 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E21/E2121.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2121
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.4230E+01        0.0000E+00        3.4980E-02        4.6100E-03
        1.5250E+01        0.0000E+00        2.9120E-02        4.0400E-03
        1.6230E+01        0.0000E+00        2.5560E-02        3.4400E-03
        1.7160E+01        0.0000E+00        2.0820E-02        3.0100E-03
        1.8060E+01        0.0000E+00        2.2310E-02        3.0800E-03
        1.8930E+01        0.0000E+00        1.5990E-02        2.4200E-03
        1.9770E+01        0.0000E+00        1.9740E-02        2.8900E-03
        2.1380E+01        0.0000E+00        1.7520E-02        2.6800E-03
        2.1810E+01        0.0000E+00        1.5320E-02        2.3700E-03
        2.2910E+01        0.0000E+00        1.8820E-02        2.9400E-03
        2.3920E+01        0.0000E+00        1.4770E-02        2.6100E-03
        2.6660E+01        0.0000E+00        1.5690E-02        2.4200E-03
        2.7310E+01        0.0000E+00        1.5710E-02        2.6300E-03
        2.8300E+01        0.0000E+00        1.5860E-02        2.6000E-03
        2.9420E+01        0.0000E+00        1.5450E-02        2.5100E-03
        3.0120E+01        0.0000E+00        1.6210E-02        2.3700E-03
        3.1500E+01        0.0000E+00        1.5340E-02        2.2700E-03
        3.2690E+01        0.0000E+00        1.4470E-02        2.3700E-03
        3.3250E+01        0.0000E+00        1.4650E-02        2.4600E-03
        3.3950E+01        0.0000E+00        1.6420E-02        2.6500E-03
        3.4760E+01        0.0000E+00        1.3840E-02        2.3500E-03
        3.5550E+01        0.0000E+00        1.3920E-02        2.2100E-03
        3.7100E+01        0.0000E+00        1.2290E-02        1.9900E-03
        3.7630E+01        0.0000E+00        1.1700E-02        1.9500E-03
        3.8610E+01        0.0000E+00        1.2000E-02        1.7900E-03
        4.0070E+01        0.0000E+00        1.0530E-02        1.7600E-03
        4.3220E+01        0.0000E+00        1.0280E-02        1.5400E-03
        4.4280E+01        0.0000E+00        9.5700E-03        1.6000E-03
        4.5330E+01        0.0000E+00        1.0100E-02        1.4800E-03
        4.6450E+01        0.0000E+00        9.3300E-03        1.4800E-03
        4.7840E+01        0.0000E+00        9.7300E-03        1.7200E-03
