# entry-subent-pointer  : F1439-008-0 
# EXFOR reaction        : (82-PB-207(D,X)ELEM/MASS,,SIG) 
# incident energy       : 4.4000e+03 MeV 
# target                : Pb-207 
# product               : Au-196 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Balabekyan 
# institute             : (3BZLBZL): Brazil 
# reference             : (J,JP/G,46,095103,2019) 
# year                  : 2019 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F14/F1439.x4 
# nds                   : https://nds.iaea.org/EXFOR/F1439
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.4000E+03        0.0000E+00        2.5900E-03        2.8000E-04
        4.4000E+03        0.0000E+00        1.6500E-03        1.0000E-04
        4.4000E+03        0.0000E+00        2.2300E-03        3.0000E-04
        4.4000E+03        0.0000E+00        2.0300E-03        2.0000E-04
        4.4000E+03        0.0000E+00        3.2900E-03        3.0000E-05
        4.4000E+03        0.0000E+00        4.8000E-04        9.0000E-05
        4.4000E+03        0.0000E+00        1.1100E-03        2.0000E-04
        4.4000E+03        0.0000E+00        1.4500E-03        4.0000E-04
        4.4000E+03        0.0000E+00        4.0000E-04        5.0000E-05
        4.4000E+03        0.0000E+00        4.4000E-04        9.0000E-05
        4.4000E+03        0.0000E+00        7.1300E-03        7.0000E-04
        4.4000E+03        0.0000E+00        4.2000E-04        5.0000E-05
        4.4000E+03        0.0000E+00        3.3000E-04        3.0000E-05
        4.4000E+03        0.0000E+00        2.2700E-03        2.3000E-04
        4.4000E+03        0.0000E+00        2.9700E-03        3.0000E-04
        4.4000E+03        0.0000E+00        4.7000E-04        5.0000E-05
        4.4000E+03        0.0000E+00        1.9800E-02        4.0000E-03
        4.4000E+03        0.0000E+00        2.3000E-03        2.5000E-04
        4.4000E+03        0.0000E+00        1.7700E-03        2.4000E-04
        4.4000E+03        0.0000E+00        1.3200E-02        1.3000E-03
        4.4000E+03        0.0000E+00        2.8100E-02        8.1000E-03
        4.4000E+03        0.0000E+00        3.1000E-03        3.0000E-04
        4.4000E+03        0.0000E+00        2.2900E-03        2.6000E-04
        4.4000E+03        0.0000E+00        5.8000E-03        6.0000E-04
        4.4000E+03        0.0000E+00        2.4800E-03        3.1000E-04
