# entry-subent-pointer  : D4256--00-7-0 
# EXFOR reaction        : ['46-PD-0', ['D,X'], '46-PD-109-G,CUM,SIG'] 
# incident energy       : 3.30e+00 MeV - 3.78e+01 MeV 
# target                : Pd-0 
# product               : Pd-109-G 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Ditroi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,270,61,2012) 
# year                  : 2012 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D42/D4256.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4256
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.30000E+00      8.00000E-01      2.10000E-03      2.00000E-04
      4.60000E+00      7.00000E-01      1.05000E-02      1.10000E-03
      5.80000E+00      7.00000E-01      2.44000E-02      2.60000E-03
      6.40000E+00      8.00000E-01      7.50000E-03      1.00000E-03
      6.70000E+00      7.00000E-01      3.27000E-02      3.60000E-03
      7.60000E+00      6.00000E-01      3.89000E-02      4.30000E-03
      9.50000E+00      5.00000E-01      6.34000E-02      6.90000E-03
      1.00000E+01      5.00000E-01      6.37000E-02      6.90000E-03
      1.14000E+01      4.00000E-01      5.98000E-02      6.50000E-03
      1.18000E+01      6.00000E-01      6.07000E-02      6.60000E-03
      1.26000E+01      3.00000E-01      5.29000E-02      5.70000E-03
      1.32000E+01      5.00000E-01      4.88000E-02      5.30000E-03
      1.33000E+01      7.00000E-01      4.83000E-02      5.60000E-03
      1.45000E+01      4.00000E-01      4.50000E-02      4.90000E-03
      1.50000E+01      2.00000E-01      4.66000E-02      5.10000E-03
      1.58000E+01      4.00000E-01      4.55000E-02      4.90000E-03
      1.70000E+01      3.00000E-01      4.36000E-02      4.70000E-03
      1.81000E+01      3.00000E-01      4.03000E-02      4.40000E-03
      1.82000E+01      7.00000E-01      3.80000E-02      4.40000E-03
      1.93000E+01      2.00000E-01      3.67000E-02      4.00000E-03
      2.03000E+01      2.00000E-01      2.75000E-02      3.00000E-03
      2.23000E+01      6.00000E-01      2.77000E-02      3.30000E-03
      2.60000E+01      6.00000E-01      3.66000E-02      4.30000E-03
      2.93000E+01      5.00000E-01      4.14000E-02      4.80000E-03
      3.23000E+01      4.00000E-01      5.02000E-02      5.70000E-03
      3.51000E+01      3.00000E-01      5.33000E-02      6.10000E-03
      3.78000E+01      2.00000E-01      4.98000E-02      5.50000E-03
