# entry-subent-pointer  : D4413-008-0 
# EXFOR reaction        : (37-RB-0(D,X)37-RB-83,CUM,SIG) 
# incident energy       : 3.1610e+01 MeV - 4.9620e+01 MeV 
# target                : Rb-0 
# product               : Rb-83 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,EPJ/A,57,21,2021) 
# year                  : 2021 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D44/D4413.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4413
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.9620E+01        3.0000E-01        4.1306E-01        4.9250E-02
        4.8030E+01        3.2000E-01        4.4313E-01        5.2830E-02
        4.6810E+01        3.4000E-01        4.5314E-01        5.4020E-02
        4.5620E+01        3.6000E-01        4.3996E-01        5.2440E-02
        4.4420E+01        3.8000E-01        4.2860E-01        5.1120E-02
        4.3270E+01        4.0000E-01        4.2326E-01        5.0460E-02
        4.2130E+01        4.3000E-01        4.1762E-01        4.9820E-02
        4.1020E+01        4.5000E-01        3.2441E-01        3.8710E-02
        3.9880E+01        4.8000E-01        3.4334E-01        4.1000E-02
        3.8760E+01        5.1000E-01        2.6818E-01        3.2010E-02
        3.7640E+01        5.4000E-01        2.9676E-01        3.5390E-02
        3.6540E+01        5.7000E-01        2.0682E-01        2.4670E-02
        3.5460E+01        6.1000E-01        1.8166E-01        2.1680E-02
        3.4400E+01        6.5000E-01        1.3454E-01        1.6070E-02
        3.3310E+01        6.9000E-01        6.4380E-02        7.7100E-03
        3.1610E+01        7.3000E-01        1.5750E-02        2.0000E-03
