# entry-subent-pointer  : D4414-011-0 
# EXFOR reaction        : ['34-SE-0', ['D,X'], '33-AS-71,CUM,SIG'] 
# incident energy       : 2.30e+01 MeV - 4.98e+01 MeV 
# target                : Se-0 
# product               : As-71 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,EPJ/A,57,117,2021) 
# year                  : 2021 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D44/D4414.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4414
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.97500E+01      3.00000E-01      8.28000E-03      1.03000E-03
      4.81300E+01      3.20000E-01      6.68000E-03      8.30000E-04
      4.64700E+01      3.40000E-01      5.46000E-03      6.90000E-04
      4.47500E+01      3.60000E-01      4.40000E-03      5.50000E-04
      4.29800E+01      3.80000E-01      3.06000E-03      4.30000E-04
      4.11600E+01      4.00000E-01      1.29000E-03      2.10000E-04
      3.92700E+01      4.30000E-01      9.60000E-04      1.90000E-04
      3.73100E+01      4.50000E-01      1.01000E-03      1.80000E-04
      3.52700E+01      4.80000E-01      6.70000E-04      2.80000E-04
      3.31400E+01      5.10000E-01      7.00000E-04      2.70000E-04
      3.09000E+01      5.40000E-01      8.70000E-04      3.30000E-04
      2.85500E+01      5.70000E-01      9.20000E-04      1.80000E-04
      2.68000E+01      6.10000E-01      1.06000E-03      2.40000E-04
      2.49700E+01      6.50000E-01      1.12000E-03      2.70000E-04
      2.30300E+01      6.90000E-01      5.30000E-04      1.50000E-04
