# entry-subent-pointer  : D0700-002-0 
# EXFOR reaction        : ['65-TB-159', ['D,P'], '65-TB-160,,SIG'] 
# incident energy       : 6.90e+00 MeV - 2.70e+01 MeV 
# target                : Tb-159 
# product               : Tb-160 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : L.N.Siri 
# institute             : (3ARGCNE): Comision Nacional de Energia Atomica, Buenos Aires 
# reference             : (J,RCA,14,159,1970) 
# year                  : 1970 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D07/D0700.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0700
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      6.90000E+00      5.50000E-01      1.09190E-02      1.32810E-02
      9.23000E+00      4.90000E-01      6.06760E-02      2.13670E-02
      1.11000E+01      3.80000E-01      1.80869E-01      5.71760E-02
      1.27700E+01      4.00000E-01      2.07500E-01      6.58300E-02
      1.41800E+01      2.60000E-01      2.52023E-01      7.79620E-02
      1.58900E+01      3.50000E-01      2.31302E-01      6.00610E-02
      1.72200E+01      3.80000E-01      1.94973E-01      6.00590E-02
      1.82900E+01      2.30000E-01      1.66719E-01      4.96650E-02
      1.95900E+01      3.20000E-01      1.82940E-01      5.77450E-02
      2.07700E+01      2.90000E-01      1.57001E-01      5.02410E-02
      2.20200E+01      3.20000E-01      1.57628E-01      5.13990E-02
      2.41300E+01      2.00000E-01      1.16710E-01      3.75370E-02
      2.50500E+01      2.90000E-01      8.49850E-02      2.82970E-02
      2.60400E+01      2.60000E-01      1.02349E-01      3.29170E-02
      2.69900E+01      3.20000E-01      1.11049E-01      3.40730E-02
