# entry-subent-pointer  : D4310-016-0 
# EXFOR reaction        : (22-TI-0(D,X)21-SC-46,,SIG) 
# incident energy       : 6.4000e+00 MeV - 1.9900e+01 MeV 
# target                : Ti-0 
# product               : Sc-46 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Hermanne 
# institute             : (2BLGVUB): Vrije Universiteit Brussels, Brussels 
# reference             : (J,NIM/B,338,31,2014) 
# year                  : 2014 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D43/D4310.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4310
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.9900E+01        4.0000E-01        2.1400E-02        3.2000E-03
        1.8900E+01        4.0000E-01        2.1600E-02        3.3000E-03
        1.7900E+01        5.0000E-01        2.3000E-02        3.1000E-03
        1.6800E+01        5.0000E-01        2.4700E-02        3.3000E-03
        1.5700E+01        6.0000E-01        3.2100E-02        4.1000E-03
        1.4500E+01        7.0000E-01        3.2100E-02        4.1000E-03
        1.3400E+01        7.0000E-01        3.2600E-02        4.8000E-03
        1.2400E+01        8.0000E-01        3.6100E-02        4.9000E-03
        1.1400E+01        9.0000E-01        3.5200E-02        4.8000E-03
        1.0300E+01        9.0000E-01        3.0400E-02        3.9000E-03
        7.8000E+00        1.0000E+00        1.7200E-02        2.4000E-03
        6.4000E+00        1.1000E+00        1.0200E-02        1.2000E-03
