# entry-subent-pointer  : O2224-009-0 
# EXFOR reaction        : ['74-W-0', ['D,X'], '74-W-187,,SIG'] 
# incident energy       : 6.5700e+00 MeV - 1.7430e+01 MeV 
# target                : W-0 
# product               : W-187 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : S.Manenti 
# institute             : (2ITYMIL): Universita degli Studi di Milano + INFN Milano 
# reference             : (J,RCA,102,669,2014) 
# year                  : 2014 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O22/O2224.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2224
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.74300E+01      3.00000E-01      5.98000E-02      2.70000E-03
      1.63900E+01      3.60000E-01      6.31000E-02      2.90000E-03
      1.53200E+01      4.20000E-01      7.16000E-02      3.30000E-03
      1.45800E+01      2.30000E-01      6.77000E-02      3.00000E-03
      1.41900E+01      4.60000E-01      7.22000E-02      3.20000E-03
      1.38700E+01      2.50000E-01      7.30000E-02      3.30000E-03
      1.31400E+01      2.80000E-01      8.24000E-02      3.70000E-03
      1.25400E+01      2.30000E-01      7.63000E-02      3.30000E-03
      1.23800E+01      3.00000E-01      8.43000E-02      3.70000E-03
      1.17600E+01      2.60000E-01      8.09000E-02      3.50000E-03
      1.09400E+01      2.80000E-01      6.61000E-02      2.90000E-03
      1.04900E+01      2.30000E-01      6.22000E-02      2.70000E-03
      1.00800E+01      3.10000E-01      5.74000E-02      2.40000E-03
      9.60000E+00      2.60000E-01      4.39000E-02      1.90000E-03
      8.67000E+00      2.90000E-01      3.38000E-02      1.40000E-03
      7.66000E+00      3.20000E-01      1.49000E-02      6.00000E-04
      6.57000E+00      3.40000E-01      3.97000E-03      1.70000E-04
