# entry-subent-pointer  : D4266-003-0 
# EXFOR reaction        : ['54-XE-0', ['D,X'], '55-CS-135-M,,SIG'] 
# incident energy       : 9.50e+00 MeV - 1.99e+01 MeV 
# target                : Xe-0 
# product               : Cs-135-M 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,ARI,70,2344,2012) 
# year                  : 2012 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D42/D4266.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4266
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      9.50000E+00      1.40000E+00      1.30000E-04      2.00000E-05
      1.02000E+01      9.00000E-01      1.20000E-04      3.00000E-05
      1.32000E+01      1.00000E+00      1.50000E-04      3.00000E-05
      1.35000E+01      1.20000E+00      4.90000E-04      7.00000E-05
      1.42000E+01      4.00000E-01      1.07000E-03      1.40000E-04
      1.53000E+01      9.00000E-01      2.51000E-03      2.90000E-04
      1.62000E+01      6.00000E-01      2.50000E-03      2.90000E-04
      1.69000E+01      7.00000E-01      4.40000E-03      5.10000E-04
      1.85000E+01      5.00000E-01      7.82000E-03      9.00000E-04
      1.89000E+01      3.00000E-01      8.43000E-03      9.50000E-04
      1.99000E+01      3.00000E-01      1.01000E-02      1.15000E-03
