# entry-subent-pointer  : D0777-007-0 
# EXFOR reaction        : ['39-Y-89', ['D,X'], '39-Y-88,CUM,SIG'] 
# incident energy       : 1.0030e+01 MeV - 1.9490e+01 MeV 
# target                : Y-89 
# product               : Y-88 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : O.Lebeda 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,NIM/B,360,118,2015) 
# year                  : 2015 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D07/D0777.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0777
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.00300E+01      2.60000E-01      2.74000E-04      2.90000E-05
      1.10600E+01      2.30000E-01      1.14500E-03      1.21000E-04
      1.17400E+01      4.30000E-01      2.18600E-03      2.32000E-04
      1.30000E+01      3.80000E-01      4.19300E-03      4.45000E-04
      1.41800E+01      3.40000E-01      6.19200E-03      6.53000E-04
      1.52900E+01      3.10000E-01      8.01600E-03      8.50000E-04
      1.63600E+01      2.80000E-01      9.65200E-03      1.02300E-03
      1.73600E+01      2.60000E-01      1.26500E-02      1.34000E-03
      1.83200E+01      2.30000E-01      2.15300E-02      2.28000E-03
      1.94900E+01      2.10000E-01      4.42200E-02      4.68000E-03
