# entry-subent-pointer  : D0996-004-0 
# EXFOR reaction        : ['40-ZR-0', ['D,X'], '41-NB-95-M,,SIG'] 
# incident energy       : 4.3200e+00 MeV - 1.9800e+01 MeV 
# target                : Zr-0 
# product               : Nb-95-M 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : E.Simeckova 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,PR/C,104,044615,2021) 
# year                  : 2021 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D09/D0996.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0996
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.32000E+00      6.00000E-01      9.80000E-04      1.10000E-04
      6.54000E+00      4.60000E-01      8.13000E-03      9.20000E-04
      8.33000E+00      4.00000E-01      7.83000E-03      8.90000E-04
      9.89000E+00      3.60000E-01      6.77000E-03      7.70000E-04
      1.12900E+01      3.30000E-01      5.37000E-03      6.10000E-04
      1.25700E+01      3.00000E-01      6.17000E-03      7.00000E-04
      1.37700E+01      2.90000E-01      6.94000E-03      7.90000E-04
      1.48900E+01      2.70000E-01      7.03000E-03      8.00000E-04
      1.59600E+01      2.60000E-01      7.37000E-03      8.40000E-04
      1.69800E+01      2.50000E-01      7.81000E-03      8.90000E-04
      1.79500E+01      2.40000E-01      7.87000E-03      8.90000E-04
      1.88900E+01      2.30000E-01      7.37000E-03      8.40000E-04
      1.98000E+01      2.30000E-01      7.52000E-03      8.50000E-04
