# entry-subent-pointer  : L0223--01-4-0 
# EXFOR reaction        : ['42-MO-92', ['E,INL'], '42-MO-92,PAR,DA'] 
# incident energy       : 1.04e+02 MeV - 3.85e+02 MeV 
# target                : Mo-92 
# product               : Mo-92 
# level energy          : 3.88e+00 MeV 
# MF-MT number          : 4 - ['72'] 
# first author          : T.E.Milliman 
# institute             : (1USAUNH): University of New Hampshire, Durham, NH 
# reference             : (J,PR/C,41,2586,1990) 
# year                  : 1990 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L02/L0223.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0223
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      6.00000E+01      0.00000E+00      2.46500E-07              NAN
      6.00000E+01      0.00000E+00      9.99600E-08              NAN
      7.50000E+01      0.00000E+00      7.04800E-08              NAN
      7.50000E+01      0.00000E+00      3.34900E-08              NAN
      9.00000E+01      0.00000E+00      3.94000E-08              NAN
      7.50000E+01      0.00000E+00      9.53700E-08              NAN
      4.50000E+01      0.00000E+00      1.68700E-07              NAN
      5.48000E+01      0.00000E+00      1.28400E-07              NAN
      7.60000E+01      0.00000E+00      2.30300E-08              NAN
      8.80000E+01      0.00000E+00      4.60900E-09              NAN
      1.01000E+02      0.00000E+00      1.47000E-10              NAN
      6.50000E+01      0.00000E+00      6.61500E-08              NAN
      7.53000E+01      0.00000E+00      2.88500E-10              NAN
      8.84000E+01      0.00000E+00      2.00700E-10              NAN
      9.71000E+01      0.00000E+00      4.09800E-11              NAN
      4.00000E+01      0.00000E+00      7.94300E-08              NAN
      7.47000E+01      0.00000E+00      1.38000E-11              NAN
      8.70000E+01      0.00000E+00      7.46600E-12              NAN
      1.05000E+02      0.00000E+00      3.16300E-15              NAN
      7.95000E+01      0.00000E+00      2.62200E-12              NAN
      7.95000E+01      0.00000E+00      1.28100E-09              NAN
      5.00000E+01      0.00000E+00      1.26300E-09              NAN
