# entry-subent-pointer  : L0039--01-7-0 
# EXFOR reaction        : ['13-AL-27', ['G,X'], '0-NN-1,,SIG'] 
# incident energy       : 1.33e+01 MeV - 3.03e+01 MeV 
# target                : Al-27 
# product               : Nn-1 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : A.Veyssiere 
# institute             : (2FR SAC): CEA/Saclay 
# reference             : (J,NP/A,227,513,74) 
# year                  : 1974 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L00/L0039.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0039
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.33400E+01      0.00000E+00      1.00000E-04      1.00000E-04
      1.34800E+01      0.00000E+00      1.00000E-04      1.00000E-04
      1.36100E+01      0.00000E+00      2.00000E-04      1.00000E-04
      1.37500E+01      0.00000E+00      3.00000E-04      1.00000E-04
      1.38800E+01      0.00000E+00      2.00000E-04      1.00000E-04
      1.40200E+01      0.00000E+00      2.00000E-04      1.00000E-04
      1.41500E+01      0.00000E+00      4.00000E-04      1.00000E-04
      1.42900E+01      0.00000E+00      4.00000E-04      1.00000E-04
      1.44200E+01      0.00000E+00      5.00000E-04      1.00000E-04
      1.45600E+01      0.00000E+00      5.00000E-04      1.00000E-04
      1.47000E+01      0.00000E+00      3.00000E-04      1.00000E-04
      1.48300E+01      0.00000E+00      4.00000E-04      1.00000E-04
      1.49700E+01      0.00000E+00      7.00000E-04      1.00000E-04
      1.51000E+01      0.00000E+00      1.10000E-03      1.00000E-04
      1.52400E+01      0.00000E+00      1.70000E-03      1.00000E-04
      1.53700E+01      0.00000E+00      2.00000E-03      1.00000E-04
      1.55100E+01      0.00000E+00      2.50000E-03      1.00000E-04
      1.56400E+01      0.00000E+00      2.60000E-03      1.00000E-04
      1.57800E+01      0.00000E+00      2.90000E-03      1.00000E-04
      1.59200E+01      0.00000E+00      3.30000E-03      1.00000E-04
      1.60500E+01      0.00000E+00      4.30000E-03      1.00000E-04
      1.61900E+01      0.00000E+00      4.30000E-03      1.00000E-04
      1.63200E+01      0.00000E+00      4.80000E-03      1.00000E-04
      1.64600E+01      0.00000E+00      4.80000E-03      1.00000E-04
      1.65900E+01      0.00000E+00      4.70000E-03      1.00000E-04
      1.67300E+01      0.00000E+00      4.20000E-03      1.00000E-04
      1.68600E+01      0.00000E+00      5.10000E-03      1.00000E-04
      1.70000E+01      0.00000E+00      5.30000E-03      2.00000E-04
      1.71300E+01      0.00000E+00      4.70000E-03      2.00000E-04
      1.72700E+01      0.00000E+00      5.40000E-03      2.00000E-04
      1.74100E+01      0.00000E+00      7.20000E-03      2.00000E-04
      1.75400E+01      0.00000E+00      7.90000E-03      2.00000E-04
      1.76800E+01      0.00000E+00      8.70000E-03      2.00000E-04
      1.78100E+01      0.00000E+00      8.70000E-03      2.00000E-04
      1.79500E+01      0.00000E+00      9.40000E-03      2.00000E-04
      1.80800E+01      0.00000E+00      1.05000E-02      2.00000E-04
      1.82200E+01      0.00000E+00      1.05000E-02      2.00000E-04
      1.83500E+01      0.00000E+00      1.02000E-02      2.00000E-04
      1.84900E+01      0.00000E+00      1.02000E-02      2.00000E-04
      1.86300E+01      0.00000E+00      1.03000E-02      2.00000E-04
      1.87600E+01      0.00000E+00      1.04000E-02      2.00000E-04
      1.89000E+01      0.00000E+00      1.11000E-02      2.00000E-04
      1.90300E+01      0.00000E+00      1.14000E-02      2.00000E-04
      1.91700E+01      0.00000E+00      1.15000E-02      2.00000E-04
      1.93000E+01      0.00000E+00      1.16000E-02      2.00000E-04
      1.94400E+01      0.00000E+00      1.19000E-02      2.00000E-04
      1.95700E+01      0.00000E+00      1.26000E-02      2.00000E-04
      1.97100E+01      0.00000E+00      1.38000E-02      2.00000E-04
      1.98400E+01      0.00000E+00      1.43000E-02      2.00000E-04
      1.99800E+01      0.00000E+00      1.43000E-02      2.00000E-04
      2.01200E+01      0.00000E+00      1.36000E-02      2.00000E-04
      2.02500E+01      0.00000E+00      1.32000E-02      2.00000E-04
      2.03900E+01      0.00000E+00      1.34000E-02      2.00000E-04
      2.05200E+01      0.00000E+00      1.30000E-02      2.00000E-04
      2.06600E+01      0.00000E+00      1.34000E-02      3.00000E-04
      2.07900E+01      0.00000E+00      1.43000E-02      3.00000E-04
      2.09300E+01      0.00000E+00      1.45000E-02      3.00000E-04
      2.10600E+01      0.00000E+00      1.52000E-02      3.00000E-04
      2.12000E+01      0.00000E+00      1.58000E-02      3.00000E-04
      2.13400E+01      0.00000E+00      1.56000E-02      3.00000E-04
      2.14700E+01      0.00000E+00      1.54000E-02      3.00000E-04
      2.16100E+01      0.00000E+00      1.47000E-02      3.00000E-04
      2.17400E+01      0.00000E+00      1.41000E-02      3.00000E-04
      2.18800E+01      0.00000E+00      1.49000E-02      3.00000E-04
      2.20100E+01      0.00000E+00      1.48000E-02      3.00000E-04
      2.21500E+01      0.00000E+00      1.47000E-02      3.00000E-04
      2.22800E+01      0.00000E+00      1.40000E-02      3.00000E-04
      2.24200E+01      0.00000E+00      1.39000E-02      3.00000E-04
      2.25500E+01      0.00000E+00      1.35000E-02      3.00000E-04
      2.26900E+01      0.00000E+00      1.26000E-02      3.00000E-04
      2.28300E+01      0.00000E+00      1.32000E-02      3.00000E-04
      2.29600E+01      0.00000E+00      1.33000E-02      3.00000E-04
      2.31000E+01      0.00000E+00      1.32000E-02      3.00000E-04
      2.32300E+01      0.00000E+00      1.28000E-02      3.00000E-04
      2.33700E+01      0.00000E+00      1.27000E-02      3.00000E-04
      2.35000E+01      0.00000E+00      1.25000E-02      3.00000E-04
      2.36400E+01      0.00000E+00      1.20000E-02      3.00000E-04
      2.37700E+01      0.00000E+00      1.20000E-02      3.00000E-04
      2.39100E+01      0.00000E+00      1.18000E-02      3.00000E-04
      2.40500E+01      0.00000E+00      1.14000E-02      3.00000E-04
      2.41800E+01      0.00000E+00      1.09000E-02      3.00000E-04
      2.43200E+01      0.00000E+00      1.10000E-02      4.00000E-04
      2.44500E+01      0.00000E+00      1.11000E-02      4.00000E-04
      2.45900E+01      0.00000E+00      1.06000E-02      4.00000E-04
      2.47200E+01      0.00000E+00      1.03000E-02      4.00000E-04
      2.48600E+01      0.00000E+00      1.01000E-02      4.00000E-04
      2.49900E+01      0.00000E+00      1.04000E-02      4.00000E-04
      2.51300E+01      0.00000E+00      9.90000E-03      4.00000E-04
      2.52600E+01      0.00000E+00      1.02000E-02      4.00000E-04
      2.54000E+01      0.00000E+00      9.90000E-03      4.00000E-04
      2.56700E+01      0.00000E+00      9.60000E-03      4.00000E-04
      2.59400E+01      0.00000E+00      9.40000E-03      4.00000E-04
      2.62100E+01      0.00000E+00      9.50000E-03      4.00000E-04
      2.64800E+01      0.00000E+00      9.40000E-03      4.00000E-04
