# entry-subent-pointer  : L0035-011-0 
# EXFOR reaction        : ['48-CD-0', ['G,X'], '0-NN-1,,SIG'] 
# incident energy       : 9.41e+00 MeV - 2.46e+01 MeV 
# target                : Cd-0 
# product               : Nn-1 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : A.Lepretre 
# institute             : (2FR SAC): CEA/Saclay 
# reference             : (J,NP/A,219,39,7401) 
# year                  : 1974 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L00/L0035.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0035
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      9.41000E+00      0.00000E+00      1.47000E-02      1.50000E-03
      9.68000E+00      0.00000E+00      2.13000E-02      1.52000E-03
      9.95000E+00      0.00000E+00      2.69000E-02      1.54000E-03
      1.02200E+01      0.00000E+00      2.93000E-02      1.55000E-03
      1.05000E+01      0.00000E+00      3.32000E-02      1.57000E-03
      1.07700E+01      0.00000E+00      3.64000E-02      1.59000E-03
      1.10400E+01      0.00000E+00      4.26000E-02      1.61000E-03
      1.13100E+01      0.00000E+00      5.31000E-02      1.63000E-03
      1.15800E+01      0.00000E+00      5.77000E-02      1.64000E-03
      1.18500E+01      0.00000E+00      6.50000E-02      1.66000E-03
      1.21200E+01      0.00000E+00      7.23000E-02      1.68000E-03
      1.23900E+01      0.00000E+00      7.81000E-02      1.70000E-03
      1.26600E+01      0.00000E+00      8.59000E-02      1.71000E-03
      1.29300E+01      0.00000E+00      9.94000E-02      1.73000E-03
      1.32100E+01      0.00000E+00      1.13500E-01      1.75000E-03
      1.34800E+01      0.00000E+00      1.29100E-01      1.77000E-03
      1.37500E+01      0.00000E+00      1.49400E-01      1.79000E-03
      1.40200E+01      0.00000E+00      1.69100E-01      1.80000E-03
      1.42900E+01      0.00000E+00      1.79500E-01      1.82000E-03
      1.45600E+01      0.00000E+00      2.00000E-01      1.84000E-03
      1.48300E+01      0.00000E+00      2.11700E-01      1.86000E-03
      1.51000E+01      0.00000E+00      2.19100E-01      1.88000E-03
      1.53700E+01      0.00000E+00      2.25300E-01      1.89000E-03
      1.56400E+01      0.00000E+00      2.27200E-01      2.43000E-03
      1.59200E+01      0.00000E+00      2.23300E-01      2.46000E-03
      1.61900E+01      0.00000E+00      2.27500E-01      2.50000E-03
      1.64600E+01      0.00000E+00      2.31000E-01      2.52000E-03
      1.67300E+01      0.00000E+00      2.26200E-01      2.56000E-03
      1.70000E+01      0.00000E+00      2.23300E-01      2.59000E-03
      1.72700E+01      0.00000E+00      2.22700E-01      2.63000E-03
      1.75400E+01      0.00000E+00      2.12900E-01      2.66000E-03
      1.78100E+01      0.00000E+00      2.17800E-01      2.69000E-03
      1.80800E+01      0.00000E+00      2.08100E-01      2.72000E-03
      1.83500E+01      0.00000E+00      2.06200E-01      2.76000E-03
      1.86300E+01      0.00000E+00      1.93300E-01      2.79000E-03
      1.89000E+01      0.00000E+00      1.89400E-01      2.83000E-03
      1.91700E+01      0.00000E+00      1.84000E-01      2.86000E-03
      1.94400E+01      0.00000E+00      1.59700E-01      2.89000E-03
      1.97100E+01      0.00000E+00      1.55900E-01      2.93000E-03
      1.99800E+01      0.00000E+00      1.48900E-01      2.97000E-03
      2.02500E+01      0.00000E+00      1.37700E-01      2.99000E-03
      2.05200E+01      0.00000E+00      1.45000E-01      3.03000E-03
      2.07900E+01      0.00000E+00      1.30200E-01      3.06000E-03
      2.10600E+01      0.00000E+00      1.13400E-01      3.10000E-03
      2.13400E+01      0.00000E+00      1.07200E-01      3.13000E-03
      2.16100E+01      0.00000E+00      1.12600E-01      3.16000E-03
      2.18800E+01      0.00000E+00      9.49000E-02      3.20000E-03
      2.21500E+01      0.00000E+00      1.06400E-01      3.23000E-03
      2.24200E+01      0.00000E+00      1.02300E-01      3.27000E-03
      2.26900E+01      0.00000E+00      1.09000E-01      3.30000E-03
      2.29600E+01      0.00000E+00      8.70000E-02      3.33000E-03
      2.32300E+01      0.00000E+00      9.20000E-02      3.37000E-03
      2.35000E+01      0.00000E+00      8.10000E-02      3.40000E-03
      2.37700E+01      0.00000E+00      8.15000E-02      3.44000E-03
      2.40500E+01      0.00000E+00      8.10000E-02      3.47000E-03
      2.43200E+01      0.00000E+00      8.58000E-02      3.50000E-03
      2.45900E+01      0.00000E+00      8.58000E-02      3.54000E-03
