# entry-subent-pointer  : K2027-031-0 
# EXFOR reaction        : ['27-CO-59', ['G,X'], '25-MN-54,IND,SIG,,BRA'] 
# incident energy       : 4.00e+01 MeV - 1.05e+03 MeV 
# target                : Co-59 
# product               : Mn-54 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : S.R.Sarkar 
# institute             : (2JPNKNZ): Kanazawa University , Kanazawa 
# reference             : (J,RCA,55,113,1991) 
# year                  : 1991 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/K20/K2027.x4 
# nds                   : https://nds.iaea.org/EXFOR/K2027
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.05000E+03      0.00000E+00      2.61000E-03      3.00000E-05
      9.00000E+02      0.00000E+00      2.48000E-03      1.40000E-04
      8.00000E+02      0.00000E+00      2.64000E-03      3.00000E-05
      7.00000E+02      0.00000E+00      2.26000E-03      2.50000E-04
      6.00000E+02      0.00000E+00      2.43000E-03      4.00000E-05
      6.00000E+02      0.00000E+00      2.36000E-03      5.00000E-05
      5.50000E+02      0.00000E+00      2.38000E-03      5.00000E-05
      4.50000E+02      0.00000E+00      1.96000E-03      6.00000E-05
      4.50000E+02      0.00000E+00      1.93000E-03      8.00000E-05
      4.00000E+02      0.00000E+00      1.81000E-03      6.00000E-05
      3.50000E+02      0.00000E+00      1.83000E-03      7.00000E-05
      3.00000E+02      0.00000E+00      1.79000E-03      5.00000E-05
      2.75000E+02      0.00000E+00      1.58000E-03      4.00000E-05
      2.45000E+02      0.00000E+00      1.30000E-03      3.00000E-05
      2.00000E+02      0.00000E+00      1.19000E-03      4.00000E-05
      1.62000E+02      0.00000E+00      1.02000E-03      5.00000E-05
      1.02000E+02      0.00000E+00      8.30000E-04      5.00000E-05
      6.80000E+01      0.00000E+00      1.70000E-04      1.00000E-05
      4.00000E+01      0.00000E+00      1.60000E-04      1.00000E-05
