# entry-subent-pointer  : M0471-003-0 
# EXFOR reaction        : (2-HE-3(G,N+P)1-H-1,,SIG,,BRS) 
# incident energy       : 8.5000e+00 MeV - 2.9500e+01 MeV 
# target                : He-3 
# product               : H-1 
# level energy          : - 
# MF-MT number          : 3 - 28 
# first author          : Gerstenberg 
# institute             : (1USANIS): National Institute of Standards & Techn., Gaithersburg, MD 
# reference             : (J,PR,144,834,1966) 
# year                  : 1966 
# facility              : (BETAT): Betatron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M04/M0471.x4 
# nds                   : https://nds.iaea.org/EXFOR/M0471
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        8.5000E+00        0.0000E+00        1.2500E-04        2.5000E-05
        9.5000E+00        0.0000E+00        1.9000E-04        2.5000E-05
        1.0500E+01        0.0000E+00        2.0500E-04        2.5000E-05
        1.1500E+01        0.0000E+00        2.9500E-04        2.5000E-05
        1.2500E+01        0.0000E+00        4.3000E-04        2.5000E-05
        1.3500E+01        0.0000E+00        6.3000E-04        3.0000E-05
        1.4500E+01        0.0000E+00        8.0000E-04        4.0000E-04
        1.5500E+01        0.0000E+00        8.6000E-04        4.0000E-04
        1.6500E+01        0.0000E+00        8.5000E-04        4.5000E-04
        1.7500E+01        0.0000E+00        7.8000E-04        0.0000E+00
        1.8500E+01        0.0000E+00        7.9000E-04        5.0000E-04
        1.9500E+01        0.0000E+00        8.0000E-04        0.0000E+00
        2.0500E+01        0.0000E+00        7.9000E-04        0.0000E+00
        2.1500E+01        0.0000E+00        7.9000E-04        0.0000E+00
        2.2500E+01        0.0000E+00        7.6000E-04        7.0000E-04
        2.3500E+01        0.0000E+00        7.2000E-04        0.0000E+00
        2.4500E+01        0.0000E+00        7.1500E-04        0.0000E+00
        2.5500E+01        0.0000E+00        7.2500E-04        0.0000E+00
        2.6500E+01        0.0000E+00        7.0000E-04        0.0000E+00
        2.7500E+01        0.0000E+00        5.6000E-04        0.0000E+00
        2.8500E+01        0.0000E+00        2.2000E-04        1.2000E-03
        2.9500E+01        0.0000E+00       -2.5000E-04        0.0000E+00
