# entry-subent-pointer  : L0148--00-4-0 
# EXFOR reaction        : ['2-HE-4', ['G,P'], '1-H-3,,DA'] 
# incident energy       : 6.00e+02 MeV 
# target                : He-4 
# product               : H-3 
# level energy          : - 
# MF-MT number          : 4 - 103 
# first author          : R.Nasseripour 
# institute             : (1USAUSA): United States of America 
# reference             : (J,PR/C,80,044603,2009) 
# year                  : 2009 
# facility              : (MICRT): Microtron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0148.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0148
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.14000E+01      0.00000E+00      7.51000E-08              NAN
      4.50000E+01      0.00000E+00      7.73000E-08              NAN
      4.86000E+01      0.00000E+00      5.81000E-08              NAN
      5.22000E+01      0.00000E+00      5.12000E-08              NAN
      5.58000E+01      0.00000E+00      4.19000E-08              NAN
      5.94000E+01      0.00000E+00      3.39000E-08              NAN
      6.30000E+01      0.00000E+00      2.47000E-08              NAN
      6.66000E+01      0.00000E+00      2.22000E-08              NAN
      7.02000E+01      0.00000E+00      1.99000E-08              NAN
      7.38000E+01      0.00000E+00      1.06000E-08              NAN
      7.74000E+01      0.00000E+00      7.96000E-09              NAN
      8.10000E+01      0.00000E+00      6.06000E-09              NAN
      8.46000E+01      0.00000E+00      4.15000E-09              NAN
      8.82000E+01      0.00000E+00      3.31000E-09              NAN
      9.18000E+01      0.00000E+00      3.17000E-09              NAN
      9.54000E+01      0.00000E+00      2.26000E-09              NAN
      9.90000E+01      0.00000E+00      1.49000E-09              NAN
      1.02600E+02      0.00000E+00      2.46000E-09              NAN
      1.06200E+02      0.00000E+00      1.30000E-09              NAN
      1.09800E+02      0.00000E+00      1.22000E-09              NAN
      1.13400E+02      0.00000E+00      1.48000E-09              NAN
      1.17000E+02      0.00000E+00      8.10000E-10              NAN
      1.20600E+02      0.00000E+00      6.80000E-10              NAN
      1.24200E+02      0.00000E+00      1.59000E-09              NAN
      1.27800E+02      0.00000E+00      3.07000E-09              NAN
      1.31400E+02      0.00000E+00      1.32000E-09              NAN
      1.35000E+02      0.00000E+00      4.34000E-09              NAN
      1.38600E+02      0.00000E+00      1.30000E-09              NAN
      1.42200E+02      0.00000E+00      1.37000E-09              NAN
