# entry-subent-pointer  : M0693-005-0 
# EXFOR reaction        : ['53-I-127', ['G,2N'], '53-I-125,,SIG,,,EVAL'] 
# incident energy       : 1.4050e+01 MeV - 2.8920e+01 MeV 
# target                : I-127 
# product               : I-125 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : V.V.Varlamov 
# institute             : (4RUSMOS): Moscow State University , Moscow 
# reference             : (R,MSU-INP-2006-9/808,2006) 
# year                  : 2006 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M06/M0693.x4 
# nds                   : https://nds.iaea.org/EXFOR/M0693
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.40500E+01      0.00000E+00      3.31000E-03      2.25000E-03
      1.43600E+01      0.00000E+00     -3.70000E-04      2.69000E-03
      1.46700E+01      0.00000E+00      5.47000E-03      3.10000E-03
      1.49800E+01      0.00000E+00      1.35000E-03      3.15000E-03
      1.52900E+01      0.00000E+00      1.03000E-03      3.55000E-03
      1.56000E+01      0.00000E+00     -5.83000E-03      3.33000E-03
      1.59100E+01      0.00000E+00     -6.72000E-03      3.68000E-03
      1.62200E+01      0.00000E+00      7.20000E-04      2.14000E-03
      1.63800E+01      0.00000E+00      1.59000E-03      1.91000E-03
      1.65300E+01      0.00000E+00      2.66000E-03      2.16000E-03
      1.66100E+01      0.00000E+00      8.41000E-03      2.80000E-03
      1.66800E+01      0.00000E+00      1.16800E-02      2.27000E-03
      1.67600E+01      0.00000E+00      1.79000E-02      3.61000E-03
      1.68400E+01      0.00000E+00      2.24800E-02      4.01000E-03
      1.69200E+01      0.00000E+00      2.84400E-02      4.52000E-03
      1.70000E+01      0.00000E+00      2.70100E-02      4.38000E-03
      1.70700E+01      0.00000E+00      3.10100E-02      4.72000E-03
      1.71500E+01      0.00000E+00      4.27100E-02      4.27000E-03
      1.74600E+01      0.00000E+00      5.55400E-02      6.48000E-03
      1.77700E+01      0.00000E+00      6.76600E-02      7.28000E-03
      1.80800E+01      0.00000E+00      7.17400E-02      7.68000E-03
      1.83900E+01      0.00000E+00      8.03400E-02      8.40000E-03
      1.87000E+01      0.00000E+00      7.73000E-02      8.17000E-03
      1.90100E+01      0.00000E+00      7.84700E-02      6.53000E-03
      1.93200E+01      0.00000E+00      8.05000E-02      8.31000E-03
      1.96300E+01      0.00000E+00      7.02700E-02      8.52000E-03
      1.99400E+01      0.00000E+00      7.32500E-02      8.81000E-03
      2.02500E+01      0.00000E+00      6.60400E-02      8.65000E-03
      2.05600E+01      0.00000E+00      6.31000E-02      5.84000E-03
      2.08700E+01      0.00000E+00      7.50800E-02      8.40000E-03
      2.11800E+01      0.00000E+00      6.22300E-02      7.90000E-03
      2.14800E+01      0.00000E+00      5.84400E-02      8.01000E-03
      2.18000E+01      0.00000E+00      5.12400E-02      7.79000E-03
      2.21100E+01      0.00000E+00      4.65200E-02      7.97000E-03
      2.24100E+01      0.00000E+00      4.91300E-02      8.26000E-03
      2.27200E+01      0.00000E+00      4.37500E-02      8.03000E-03
      2.30300E+01      0.00000E+00      4.02000E-02      8.00000E-03
      2.33400E+01      0.00000E+00      4.81700E-02      8.44000E-03
      2.36500E+01      0.00000E+00      3.45200E-02      8.27000E-03
      2.39600E+01      0.00000E+00      3.56200E-02      8.37000E-03
      2.42700E+01      0.00000E+00      2.82400E-02      1.28100E-02
      2.45800E+01      0.00000E+00      1.77600E-02      1.25400E-02
      2.48900E+01      0.00000E+00      3.39600E-02      1.26000E-02
      2.52000E+01      0.00000E+00      1.22600E-02      1.42500E-02
      2.55100E+01      0.00000E+00      2.12300E-02      1.30000E-02
      2.58200E+01      0.00000E+00      2.39500E-02      1.33500E-02
      2.61300E+01      0.00000E+00      4.36100E-02      1.07300E-02
      2.64400E+01      0.00000E+00      2.07100E-02      1.44700E-02
      2.67500E+01      0.00000E+00      2.97000E-03      1.30900E-02
      2.70600E+01      0.00000E+00      1.84900E-02      1.32200E-02
      2.73700E+01      0.00000E+00      3.18100E-02      1.02500E-02
      2.76800E+01      0.00000E+00      2.53600E-02      1.33200E-02
      2.79900E+01      0.00000E+00      1.58300E-02      1.00700E-02
      2.83000E+01      0.00000E+00      1.76000E-02      1.46400E-02
      2.86100E+01      0.00000E+00      4.92000E-03      1.09700E-02
      2.89200E+01      0.00000E+00      1.86600E-02      1.60100E-02
