# entry-subent-pointer  : M0623-002-0 
# EXFOR reaction        : (12-MG-0(G,X)1-H-1,,SIG,,BRS) 
# incident energy       : 1.5000e+01 MeV - 3.2000e+01 MeV 
# target                : Mg-0 
# product               : H-1 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Ishkhanov 
# institute             : (4RUSMOS): Moscow State University , Moscow 
# reference             : (J,PL,9,162,1964) 
# year                  : 1964 
# facility              : (BETAT): Betatron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M06/M0623.x4 
# nds                   : https://nds.iaea.org/EXFOR/M0623
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.5000E+01        0.0000E+00        1.3200E-03        0.0000E+00
        1.6000E+01        0.0000E+00        4.2300E-03        0.0000E+00
        1.7000E+01        0.0000E+00        9.1800E-03        0.0000E+00
        1.8000E+01        0.0000E+00        1.2880E-02        0.0000E+00
        1.9000E+01        0.0000E+00        1.4320E-02        0.0000E+00
        2.0000E+01        0.0000E+00        1.5740E-02        1.2600E-03
        2.1000E+01        0.0000E+00        1.6560E-02        0.0000E+00
        2.2000E+01        0.0000E+00        1.7870E-02        0.0000E+00
        2.3000E+01        0.0000E+00        1.7460E-02        0.0000E+00
        2.4000E+01        0.0000E+00        1.6040E-02        2.4100E-03
        2.5000E+01        0.0000E+00        1.6320E-02        0.0000E+00
        2.6000E+01        0.0000E+00        1.8070E-02        0.0000E+00
        2.7000E+01        0.0000E+00        1.3960E-02        0.0000E+00
        2.8000E+01        0.0000E+00        9.3600E-03        0.0000E+00
        2.9000E+01        0.0000E+00        1.2900E-03        0.0000E+00
        3.0000E+01        0.0000E+00        8.3000E-04        3.3000E-04
        3.1000E+01        0.0000E+00        1.6600E-03        0.0000E+00
        3.2000E+01        0.0000E+00        1.7900E-03        0.0000E+00
