# entry-subent-pointer  : L0122-004-0 
# EXFOR reaction        : ['8-O-16', ['G,ABS'], ',,SIG,,BRS'] 
# incident energy       : 1.0200e+01 MeV - 3.4700e+01 MeV 
# target                : O-16 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 27 
# first author          : J.M.Wyckoff 
# institute             : (1USANIS): National Institute of Standards & Techn., Gaithersburg, MD 
# reference             : (J,PR,137,B576,1965) 
# year                  : 1965 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0122.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0122
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.02000E+01      0.00000E+00     -5.74000E-04      0.00000E+00
      1.07000E+01      0.00000E+00     -3.80000E-04      0.00000E+00
      1.11000E+01      0.00000E+00     -5.71000E-04      0.00000E+00
      1.17000E+01      0.00000E+00      5.34000E-04      0.00000E+00
      1.22000E+01      0.00000E+00     -1.28000E-03      0.00000E+00
      1.27000E+01      0.00000E+00      3.46000E-04      0.00000E+00
      1.33000E+01      0.00000E+00      2.74000E-03      0.00000E+00
      1.37000E+01      0.00000E+00      9.25000E-04      0.00000E+00
      1.42000E+01      0.00000E+00     -1.27000E-04      0.00000E+00
      1.46000E+01      0.00000E+00      1.21000E-03      0.00000E+00
      1.51000E+01      0.00000E+00      1.21000E-03      0.00000E+00
      1.57000E+01      0.00000E+00     -1.21000E-04      0.00000E+00
      1.61000E+01      0.00000E+00      6.47000E-04      0.00000E+00
      1.66000E+01      0.00000E+00      1.46000E-03      0.00000E+00
      1.71000E+01      0.00000E+00      2.18000E-03      0.00000E+00
      1.76000E+01      0.00000E+00      3.57000E-03      0.00000E+00
      1.82000E+01      0.00000E+00      1.27000E-03      0.00000E+00
      1.86000E+01      0.00000E+00      1.80000E-03      0.00000E+00
      1.92000E+01      0.00000E+00      3.77000E-03      0.00000E+00
      1.97000E+01      0.00000E+00      1.42000E-03      0.00000E+00
      2.01000E+01      0.00000E+00      2.34000E-03      0.00000E+00
      2.06000E+01      0.00000E+00      4.02000E-03      0.00000E+00
      2.11000E+01      0.00000E+00      6.94000E-03      0.00000E+00
      2.16000E+01      0.00000E+00      1.27000E-02      0.00000E+00
      2.22000E+01      0.00000E+00      2.39000E-02      0.00000E+00
      2.26000E+01      0.00000E+00      2.40000E-02      0.00000E+00
      2.31000E+01      0.00000E+00      2.20000E-02      0.00000E+00
      2.36000E+01      0.00000E+00      2.12000E-02      0.00000E+00
      2.41000E+01      0.00000E+00      2.16000E-02      0.00000E+00
      2.46000E+01      0.00000E+00      2.16000E-02      0.00000E+00
      2.51000E+01      0.00000E+00      1.78000E-02      0.00000E+00
      2.56000E+01      0.00000E+00      1.89000E-02      0.00000E+00
      2.61000E+01      0.00000E+00      1.56000E-02      0.00000E+00
      2.66000E+01      0.00000E+00      1.25000E-02      0.00000E+00
      2.71000E+01      0.00000E+00      1.22000E-02      0.00000E+00
      2.76000E+01      0.00000E+00      8.74000E-03      0.00000E+00
      2.80000E+01      0.00000E+00      7.59000E-03      0.00000E+00
      2.86000E+01      0.00000E+00      7.64000E-03      0.00000E+00
      2.91000E+01      0.00000E+00      7.17000E-03      0.00000E+00
      2.96000E+01      0.00000E+00      7.36000E-03      0.00000E+00
      3.01000E+01      0.00000E+00      5.88000E-03      0.00000E+00
      3.06000E+01      0.00000E+00      7.46000E-03      0.00000E+00
      3.11000E+01      0.00000E+00      6.74000E-03      0.00000E+00
      3.17000E+01      0.00000E+00      5.16000E-03      0.00000E+00
      3.21000E+01      0.00000E+00      7.47000E-03      0.00000E+00
      3.26000E+01      0.00000E+00      5.89000E-03      0.00000E+00
      3.31000E+01      0.00000E+00      5.02000E-03      0.00000E+00
      3.35000E+01      0.00000E+00      4.07000E-03      0.00000E+00
      3.41000E+01      0.00000E+00      5.32000E-03      0.00000E+00
      3.47000E+01      0.00000E+00      4.74000E-03      0.00000E+00
