# entry-subent-pointer  : L0127-002-0 
# EXFOR reaction        : (8-O-16(G,TOT),,SIG) 
# incident energy       : 1.2541e+01 MeV - 2.6562e+01 MeV 
# target                : O-16 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Burgov 
# institute             : (4RUSLEB): Fiz.Institute Lebedev (FIAN), Moskva 
# reference             : (J,IZV,27,866,1963) 
# year                  : 1963 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0127.x4 
# nds                   : https://nds.iaea.org/EXFOR/L0127
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.2541E+01        0.0000E+00       -7.4370E-03        7.0300E-03
        1.2727E+01        0.0000E+00        1.7080E-02        7.5200E-03
        1.2935E+01        0.0000E+00        1.2180E-03        5.5580E-03
        1.3081E+01        0.0000E+00       -4.3440E-03        8.0110E-03
        1.3229E+01        0.0000E+00        4.1530E-03        7.1940E-03
        1.3424E+01        0.0000E+00       -7.5500E-04        6.3760E-03
        1.3619E+01        0.0000E+00       -3.3750E-03        5.8850E-03
        1.3753E+01        0.0000E+00        8.2280E-03        8.3380E-03
        1.3962E+01        0.0000E+00       -3.5470E-03        6.8660E-03
        1.4129E+01        0.0000E+00        1.2633E-02        4.5760E-03
        1.4290E+01        0.0000E+00        2.8210E-03        4.5770E-03
        1.4453E+01        0.0000E+00        4.6150E-03        6.5400E-03
        1.4664E+01        0.0000E+00        3.3000E-05        4.7410E-03
        1.4827E+01        0.0000E+00       -1.2780E-03        4.7410E-03
        1.5023E+01        0.0000E+00       -3.0810E-03        4.2510E-03
        1.5188E+01        0.0000E+00        4.5980E-03        3.2690E-03
        1.5365E+01        0.0000E+00       -5.2140E-03        2.9420E-03
        1.5530E+01        0.0000E+00        3.7730E-03        4.0870E-03
        1.5708E+01        0.0000E+00       -2.2800E-03        4.7410E-03
        1.5886E+01        0.0000E+00       -7.1880E-03        7.8480E-03
        1.6066E+01        0.0000E+00       -6.0480E-03        4.4150E-03
        1.6249E+01        0.0000E+00        6.2080E-03        6.2120E-03
        1.6410E+01        0.0000E+00       -2.4600E-03        4.7410E-03
        1.6590E+01        0.0000E+00        3.1500E-04        3.5960E-03
        1.6788E+01        0.0000E+00        1.0282E-02        4.9050E-03
        1.6951E+01        0.0000E+00        9.2980E-03        3.9240E-03
        1.7130E+01        0.0000E+00        9.6200E-03        5.0680E-03
        1.7292E+01        0.0000E+00        3.2410E-03        4.9040E-03
        1.7457E+01        0.0000E+00        1.0921E-02        5.3960E-03
        1.7635E+01        0.0000E+00        2.4160E-03        3.9230E-03
