# entry-subent-pointer  : M0635-037-1 
# EXFOR reaction        : (82-PB-208(G,2N)82-PB-206,,SIG,,,EVAL) 
# incident energy       : 1.4400e+01 MeV - 2.0700e+01 MeV 
# target                : Pb-208 
# product               : Pb-206 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : Varlamov 
# institute             : (4RUSMOS): Moscow State University , Moscow 
# reference             : (J,YK,,(1-2),48,2003) 
# year                  : 2003 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M06/M0635.x4 
# nds                   : https://nds.iaea.org/EXFOR/M0635
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.4400E+01        0.0000E+00        7.5640E-02        1.1340E-02
        1.4700E+01        0.0000E+00        9.6890E-02        1.1960E-02
        1.5000E+01        0.0000E+00        1.1220E-01        1.2180E-02
        1.5300E+01        0.0000E+00        1.2130E-01        1.2410E-02
        1.5600E+01        0.0000E+00        1.2680E-01        1.2640E-02
        1.5900E+01        0.0000E+00        1.3020E-01        1.2670E-02
        1.6200E+01        0.0000E+00        1.3190E-01        1.2700E-02
        1.6500E+01        0.0000E+00        1.3170E-01        1.2990E-02
        1.6800E+01        0.0000E+00        1.2780E-01        1.3440E-02
        1.7100E+01        0.0000E+00        1.1950E-01        1.3800E-02
        1.7400E+01        0.0000E+00        1.1060E-01        1.4350E-02
        1.7700E+01        0.0000E+00        1.0600E-01        1.5580E-02
        1.8000E+01        0.0000E+00        1.0450E-01        1.6650E-02
        1.8300E+01        0.0000E+00        1.0160E-01        1.7100E-02
        1.8600E+01        0.0000E+00        9.4740E-02        1.7540E-02
        1.8900E+01        0.0000E+00        8.3950E-02        1.7930E-02
        1.9200E+01        0.0000E+00        7.2930E-02        1.8110E-02
        1.9500E+01        0.0000E+00        6.6180E-02        1.8280E-02
        1.9800E+01        0.0000E+00        6.4130E-02        1.8590E-02
        2.0100E+01        0.0000E+00        6.3720E-02        1.9100E-02
        2.0400E+01        0.0000E+00        6.2850E-02        1.9660E-02
        2.0700E+01        0.0000E+00        6.0460E-02        2.0400E-02
