# entry-subent-pointer  : M0431-003-0 
# EXFOR reaction        : (92-U-235(G,F),,SIG) 
# incident energy       : 5.0000e+00 MeV - 8.0000e+00 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : Anderl 
# institute             : (1USAIOW): University of Iowa, Iowa City, IA 
# reference             : (J,NP/A,212,221,1973) 
# year                  : 1973 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M04/M0431.x4 
# nds                   : https://nds.iaea.org/EXFOR/M0431
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        5.0000E+00        0.0000E+00       -4.0000E-04        1.9000E-03
        5.1000E+00        0.0000E+00        3.0000E-04        1.6000E-03
        5.2000E+00        0.0000E+00        1.4000E-03        1.3000E-03
        5.3000E+00        0.0000E+00        2.5000E-03        1.0000E-03
        5.4000E+00        0.0000E+00        3.2000E-03        9.0000E-04
        5.5000E+00        0.0000E+00        3.6000E-03        1.0000E-03
        5.6000E+00        0.0000E+00        3.9000E-03        1.1000E-03
        5.7000E+00        0.0000E+00        4.6000E-03        1.3000E-03
        5.8000E+00        0.0000E+00        6.0000E-03        1.3000E-03
        5.9000E+00        0.0000E+00        7.3000E-03        1.3000E-03
        6.0000E+00        0.0000E+00        6.9000E-03        1.3000E-03
        6.1000E+00        0.0000E+00        5.1000E-03        1.3000E-03
        6.2000E+00        0.0000E+00        3.4000E-03        1.3000E-03
        6.3000E+00        0.0000E+00        3.4000E-03        1.3000E-03
        6.4000E+00        0.0000E+00        5.4000E-03        1.4000E-03
        6.5000E+00        0.0000E+00        8.1000E-03        1.4000E-03
        6.6000E+00        0.0000E+00        9.5000E-03        1.5000E-03
        6.7000E+00        0.0000E+00        9.4000E-03        1.5000E-03
        6.8000E+00        0.0000E+00        8.6000E-03        1.5000E-03
        6.9000E+00        0.0000E+00        8.1000E-03        1.5000E-03
        7.0000E+00        0.0000E+00        9.5000E-03        1.5000E-03
        7.1000E+00        0.0000E+00        1.2700E-02        1.5000E-03
        7.2000E+00        0.0000E+00        1.7200E-02        1.5000E-03
        7.3000E+00        0.0000E+00        2.2600E-02        1.5000E-03
        7.4000E+00        0.0000E+00        2.6900E-02        1.5000E-03
        7.5000E+00        0.0000E+00        2.8400E-02        1.5000E-03
        7.6000E+00        0.0000E+00        2.7000E-02        1.5000E-03
        7.7000E+00        0.0000E+00        2.3300E-02        1.4000E-03
        7.8000E+00        0.0000E+00        1.8400E-02        1.5000E-03
        7.9000E+00        0.0000E+00        1.3600E-02        1.6000E-03
        8.0000E+00        0.0000E+00        1.0000E-02        1.8000E-03
