# entry-subent-pointer  : K2027--06-9-2 
# EXFOR reaction        : ['39-Y-89', ['G,X'], '37-RB-81,IND,SIG,,BRA,DERIV'] 
# incident energy       : 1.60e+02 MeV - 1.00e+03 MeV 
# target                : Y-89 
# product               : Rb-81 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : S.R.Sarkar 
# institute             : (2JPNKNZ): Kanazawa University , Kanazawa 
# reference             : (J,RCA,55,113,1991) 
# year                  : 1991 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/K20/K2027.x4 
# nds                   : https://nds.iaea.org/EXFOR/K2027
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.00000E+03      0.00000E+00      1.63000E-03      2.50000E-04
      9.00000E+02      0.00000E+00      1.57000E-03      2.40000E-04
      8.00000E+02      0.00000E+00      1.61000E-03      2.40000E-04
      7.00000E+02      0.00000E+00      1.47000E-03      2.20000E-04
      6.00000E+02      0.00000E+00      1.38000E-03      2.10000E-04
      5.00000E+02      0.00000E+00      1.39000E-03      2.10000E-04
      4.00000E+02      0.00000E+00      1.08000E-03      1.60000E-04
      3.00000E+02      0.00000E+00      7.70000E-04      1.20000E-04
      2.50000E+02      0.00000E+00      4.40000E-04      7.00000E-05
      1.60000E+02      0.00000E+00      1.70000E-04      3.00000E-05
