# entry-subent-pointer  : K2027-059-0 
# EXFOR reaction        : (39-Y-89(G,X)38-SR-87-M,IND,SIG,,BRA) 
# incident energy       : 3.0000e+01 MeV - 1.0000e+03 MeV 
# target                : Y-89 
# product               : Sr-87-M 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Sarkar 
# institute             : (2JPNJPN): Japan 
# reference             : (J,RCA,55,113,1991) 
# year                  : 1991 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/K20/K2027.x4 
# nds                   : https://nds.iaea.org/EXFOR/K2027
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E+03        0.0000E+00        7.7000E-04        4.0000E-05
        9.0000E+02        0.0000E+00        9.6000E-04        8.0000E-05
        8.0000E+02        0.0000E+00        9.9000E-04        6.0000E-05
        7.0000E+02        0.0000E+00        1.0100E-03        6.0000E-05
        6.0000E+02        0.0000E+00        9.4000E-04        1.1000E-04
        5.0000E+02        0.0000E+00        1.0700E-03        6.0000E-05
        4.0000E+02        0.0000E+00        9.2000E-04        5.0000E-05
        3.0000E+02        0.0000E+00        8.0000E-04        6.0000E-05
        2.5000E+02        0.0000E+00        6.4000E-04        6.0000E-05
        2.5000E+02        0.0000E+00        7.7000E-04        5.0000E-05
        1.6000E+02        0.0000E+00        5.8000E-04        2.0000E-05
        1.3000E+02        0.0000E+00        7.7000E-04        5.0000E-05
        1.0400E+02        0.0000E+00        7.7000E-04        7.0000E-05
        1.0000E+02        0.0000E+00        5.3000E-04        4.0000E-05
        3.0000E+01        0.0000E+00        7.0000E-05        1.0000E-05
